Dataset,age_group,median_days,q25_days,q75_days,n_patients
T1DGranada,<31,616.1510416666666,308.38020833333337,1062.6770833333333,146
T1DGranada,31-45,388.2604166666667,210.40625,631.1875,185
T1DGranada,46-65,331.6770833333333,165.17708333333331,639.2864583333333,247
T1DGranada,>=66,252.69791666666666,136.82291666666666,535.6041666666666,65
DiaTrend,<31,494.171875,208.61458333333334,1300.1328125,38
DiaTrend,31-45,77.08333333333334,52.309895833333336,119.00260416666667,4
DiaTrend,46-65,91.47916666666666,45.86458333333333,106.234375,8
DiaTrend,>=66,210.10416666666666,210.10416666666666,210.10416666666666,1
ReplaceBG,<31,182.33333333333334,178.140625,182.625,51
ReplaceBG,31-45,182.32291666666666,177.5,184.3125,69
ReplaceBG,46-65,182.28645833333334,176.38541666666666,183.46875,86
ReplaceBG,>=66,179.45833333333334,177.35416666666666,183.42708333333334,17
