Dataset,age_group,mean,std,median,q25,q75,n_obs
T1DiabetesGranada,<31,167.88212335784056,76.97483722174546,155.0,111.0,210.0,6590712
T1DiabetesGranada,31–45,163.96398671828533,69.75860257702828,153.0,111.0,206.0,6297982
T1DiabetesGranada,46–65,163.03359384336125,69.02978595318513,152.0,112.0,203.0,7681854
T1DiabetesGranada,≥66,159.67899508996123,63.818441279674765,149.0,114.0,195.0,1662716
DiaTrend,<31,187.09628009648506,74.64018827145473,176.0,131.0,232.0,7328389
DiaTrend,31–45,171.4890666230286,68.36554443311275,159.0,123.0,206.0,97774
DiaTrend,46–65,170.57735286154892,57.23076206061993,163.0,128.0,205.0,188377
DiaTrend,≥66,163.2917297788549,60.651884426572586,156.0,118.0,201.0,52816
ReplaceBG,<31,160.3394490269289,68.10763402503851,149.0,109.0,200.0,2300911
ReplaceBG,31–45,164.51463509751432,66.67717484053422,155.0,114.0,205.0,3143744
ReplaceBG,46–65,156.87948258445695,60.699325723406545,148.0,112.0,192.0,4166709
ReplaceBG,≥66,156.22267016140427,58.285676152028934,147.0,113.0,189.0,821044
