Dataset,age_group,median_ratio,q25_ratio,q75_ratio,n_patients
T1DGranada,<31,12.963274548414947,7.41728412249019,28.479768983106254,146
T1DGranada,31-45,14.317391304347826,9.47935368043088,35.39290780141844,185
T1DGranada,46-65,19.352348136804494,10.012844869473952,36.61092443585364,246
T1DGranada,>=66,30.938170647282796,13.606093488356649,65.80180028583283,64
DiaTrend,<31,47.26933854309141,22.359216729985746,109.06972934721834,38
DiaTrend,31-45,28.243905514670647,18.36064357452402,41.53879856600707,4
DiaTrend,46-65,111.47764605923288,44.1352405157451,179.3186813186813,8
ReplaceBG,<31,14.09404924760602,10.946671349972332,20.419842437928445,51
ReplaceBG,31-45,17.357528957528956,10.53144399460189,29.422119815668204,69
ReplaceBG,46-65,21.713468316932456,14.269773333239616,40.75887237762238,86
ReplaceBG,>=66,35.95542857142857,24.262727844123194,50.85526315789474,17
