Dataset,Age group,N patients,CV median,CV IQR,SD median,IQR median
T1DGranada,<31,146,39.73343745386616,34.7–43.9,63.6424050612255,90.0
T1DGranada,31-45,185,38.837482769842744,35.0–42.8,64.5072251174356,91.0
T1DGranada,46-65,247,37.24565229411373,33.3–41.0,60.382681662971954,85.0
T1DGranada,>=66,65,35.07818894029174,32.2–39.0,56.98326651997158,79.0
DiaTrend,<31,38,36.603269867255015,33.2–39.8,67.76366897975936,96.0
DiaTrend,31-45,4,39.17886360734213,35.6–40.8,68.94739605171303,91.5
DiaTrend,46-65,8,32.65921542719715,31.0–34.1,57.66725417843821,79.5
ReplaceBG,<31,51,38.680154832287364,35.5–41.2,60.68567924369548,82.0
ReplaceBG,31-45,69,38.77960936916897,34.9–41.0,63.626845381794936,84.0
ReplaceBG,46-65,86,36.05662799251105,33.1–38.4,56.35386238964216,76.0
ReplaceBG,>=66,17,33.62530547790981,32.5–37.4,53.38628109060331,71.0
