dataset,condition,dimension,technique,borda_score,global_rank
DIATREND,balanced_sex_smote,sex,smote,45,1
DIATREND,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,69,2
DIATREND,balanced_sex_oversampling,sex,oversampling,69,2
DIATREND,balanced_sex_jittering,sex,jittering,70,4
DIATREND,balanced_sex_undersampling,sex,undersampling,77,5
DIATREND,balanced_age_oversampling,age,oversampling,84,6
DIATREND,balanced_age_smote,age,smote,84,6
DIATREND,balanced_age_reference_proportional,age,reference_proportional,85,8
DIATREND,balanced_sex_reference_proportional,sex,reference_proportional,92,9
DIATREND,balanced_age_jittering,age,jittering,94,10
DIATREND,balanced_age_undersampling,age,undersampling,110,11
DIATREND,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,111,12
REPLACE-BG,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,63,1
REPLACE-BG,balanced_age_reference_proportional,age,reference_proportional,63,1
REPLACE-BG,balanced_age_smote,age,smote,65,3
REPLACE-BG,balanced_sex_oversampling,sex,oversampling,72,4
REPLACE-BG,balanced_sex_jittering,sex,jittering,73,5
REPLACE-BG,balanced_age_oversampling,age,oversampling,77,6
REPLACE-BG,balanced_sex_reference_proportional,sex,reference_proportional,81,7
REPLACE-BG,balanced_sex_smote,sex,smote,87,8
REPLACE-BG,balanced_age_undersampling,age,undersampling,88,9
REPLACE-BG,balanced_age_jittering,age,jittering,95,10
REPLACE-BG,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,102,11
REPLACE-BG,balanced_sex_undersampling,sex,undersampling,102,11
T1DiabetesGranada,balanced_age_smote,age,smote,37,1
T1DiabetesGranada,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,48,2
T1DiabetesGranada,balanced_sex_reference_proportional,sex,reference_proportional,63,3
T1DiabetesGranada,balanced_sex_smote,sex,smote,67,4
T1DiabetesGranada,balanced_sex_undersampling,sex,undersampling,70,5
T1DiabetesGranada,balanced_age_reference_proportional,age,reference_proportional,76,6
T1DiabetesGranada,balanced_sex_jittering,sex,jittering,78,7
T1DiabetesGranada,balanced_sex_oversampling,sex,oversampling,89,8
T1DiabetesGranada,balanced_age_undersampling,age,undersampling,95,9
T1DiabetesGranada,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,103,10
T1DiabetesGranada,balanced_age_jittering,age,jittering,129,11
