family,dataset,condition,dimension,technique,borda_score,global_rank
guided,DIATREND,balanced_age_jittering,age,jittering,68,7.0
guided,DIATREND,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,108,10.0
guided,DIATREND,balanced_age_smote,age,smote,55,4.0
guided,DIATREND,balanced_age_smote_tomek,age,smote_tomek,65,6.0
guided,DIATREND,balanced_age_tomek_links,age,tomek_links,44,1.0
guided,DIATREND,balanced_sex_jittering,sex,jittering,75,8.0
guided,DIATREND,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,80,9.0
guided,DIATREND,balanced_sex_smote,sex,smote,53,2.0
guided,DIATREND,balanced_sex_smote_tomek,sex,smote_tomek,59,5.0
guided,DIATREND,balanced_sex_tomek_links,sex,tomek_links,53,2.0
guided,REPLACE-BG,balanced_age_jittering,age,jittering,102,10.0
guided,REPLACE-BG,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,95,9.0
guided,REPLACE-BG,balanced_age_smote,age,smote,64,5.0
guided,REPLACE-BG,balanced_age_smote_tomek,age,smote_tomek,69,6.0
guided,REPLACE-BG,balanced_age_tomek_links,age,tomek_links,40,2.0
guided,REPLACE-BG,balanced_sex_jittering,sex,jittering,36,1.0
guided,REPLACE-BG,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,48,4.0
guided,REPLACE-BG,balanced_sex_smote,sex,smote,80,7.0
guided,REPLACE-BG,balanced_sex_smote_tomek,sex,smote_tomek,43,3.0
guided,REPLACE-BG,balanced_sex_tomek_links,sex,tomek_links,83,8.0
guided,T1DiabetesGranada,balanced_age_jittering,age,jittering,99,10.0
guided,T1DiabetesGranada,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,61,5.0
guided,T1DiabetesGranada,balanced_age_smote,age,smote,67,6.0
guided,T1DiabetesGranada,balanced_age_smote_tomek,age,smote_tomek,52,2.0
guided,T1DiabetesGranada,balanced_age_tomek_links,age,tomek_links,47,1.0
guided,T1DiabetesGranada,balanced_sex_jittering,sex,jittering,73,8.0
guided,T1DiabetesGranada,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,59,4.0
guided,T1DiabetesGranada,balanced_sex_smote,sex,smote,53,3.0
guided,T1DiabetesGranada,balanced_sex_smote_tomek,sex,smote_tomek,77,9.0
guided,T1DiabetesGranada,balanced_sex_tomek_links,sex,tomek_links,72,7.0
random,DIATREND,balanced_age_oversampling,age,oversampling,38,3.0
random,DIATREND,balanced_age_undersampling,age,undersampling,68,6.0
random,DIATREND,balanced_age_undersampling_oversampling,age,undersampling_oversampling,40,4.0
random,DIATREND,balanced_sex_oversampling,sex,oversampling,29,1.0
random,DIATREND,balanced_sex_undersampling,sex,undersampling,44,5.0
random,DIATREND,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,33,2.0
random,REPLACE-BG,balanced_age_oversampling,age,oversampling,46,5.0
random,REPLACE-BG,balanced_age_undersampling,age,undersampling,66,6.0
random,REPLACE-BG,balanced_age_undersampling_oversampling,age,undersampling_oversampling,33,2.0
random,REPLACE-BG,balanced_sex_oversampling,sex,oversampling,23,1.0
random,REPLACE-BG,balanced_sex_undersampling,sex,undersampling,45,4.0
random,REPLACE-BG,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,39,3.0
random,T1DiabetesGranada,balanced_age_oversampling,age,oversampling,43,4.0
random,T1DiabetesGranada,balanced_age_undersampling,age,undersampling,29,1.0
random,T1DiabetesGranada,balanced_age_undersampling_oversampling,age,undersampling_oversampling,47,5.0
random,T1DiabetesGranada,balanced_sex_oversampling,sex,oversampling,36,2.0
random,T1DiabetesGranada,balanced_sex_undersampling,sex,undersampling,41,3.0
random,T1DiabetesGranada,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,56,6.0
random+guided,DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,25,1.0
random+guided,DIATREND,balanced_age_undersampling_smote,age,undersampling_smote,35,4.0
random+guided,DIATREND,balanced_sex_oversampling_tomek,sex,oversampling_tomek,30,2.0
random+guided,DIATREND,balanced_sex_undersampling_smote,sex,undersampling_smote,30,2.0
random+guided,REPLACE-BG,balanced_age_oversampling_tomek,age,oversampling_tomek,31,2.0
random+guided,REPLACE-BG,balanced_age_undersampling_smote,age,undersampling_smote,36,4.0
random+guided,REPLACE-BG,balanced_sex_oversampling_tomek,sex,oversampling_tomek,21,1.0
random+guided,REPLACE-BG,balanced_sex_undersampling_smote,sex,undersampling_smote,32,3.0
random+guided,T1DiabetesGranada,balanced_age_oversampling_tomek,age,oversampling_tomek,30,3.0
random+guided,T1DiabetesGranada,balanced_age_undersampling_smote,age,undersampling_smote,23,1.0
random+guided,T1DiabetesGranada,balanced_sex_oversampling_tomek,sex,oversampling_tomek,26,2.0
random+guided,T1DiabetesGranada,balanced_sex_undersampling_smote,sex,undersampling_smote,41,4.0
