family,dataset,condition,dimension,technique,borda_score,global_rank
oversampling,DIATREND,balanced_age_jittering,age,jittering,65,8.0
oversampling,DIATREND,balanced_age_oversampling,age,oversampling,58,5.0
oversampling,DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,44,1.0
oversampling,DIATREND,balanced_age_smote,age,smote,48,3.0
oversampling,DIATREND,balanced_sex_jittering,sex,jittering,64,7.0
oversampling,DIATREND,balanced_sex_oversampling,sex,oversampling,50,4.0
oversampling,DIATREND,balanced_sex_oversampling_tomek,sex,oversampling_tomek,58,5.0
oversampling,DIATREND,balanced_sex_smote,sex,smote,45,2.0
oversampling,REPLACE-BG,balanced_age_jittering,age,jittering,85,8.0
oversampling,REPLACE-BG,balanced_age_oversampling,age,oversampling,63,6.0
oversampling,REPLACE-BG,balanced_age_oversampling_tomek,age,oversampling_tomek,46,4.0
oversampling,REPLACE-BG,balanced_age_smote,age,smote,58,5.0
oversampling,REPLACE-BG,balanced_sex_jittering,sex,jittering,36,2.0
oversampling,REPLACE-BG,balanced_sex_oversampling,sex,oversampling,37,3.0
oversampling,REPLACE-BG,balanced_sex_oversampling_tomek,sex,oversampling_tomek,30,1.0
oversampling,REPLACE-BG,balanced_sex_smote,sex,smote,77,7.0
oversampling,T1DiabetesGranada,balanced_age_jittering,age,jittering,85,8.0
oversampling,T1DiabetesGranada,balanced_age_oversampling,age,oversampling,66,7.0
oversampling,T1DiabetesGranada,balanced_age_oversampling_tomek,age,oversampling_tomek,40,2.0
oversampling,T1DiabetesGranada,balanced_age_smote,age,smote,49,4.0
oversampling,T1DiabetesGranada,balanced_sex_jittering,sex,jittering,62,6.0
oversampling,T1DiabetesGranada,balanced_sex_oversampling,sex,oversampling,57,5.0
oversampling,T1DiabetesGranada,balanced_sex_oversampling_tomek,sex,oversampling_tomek,32,1.0
oversampling,T1DiabetesGranada,balanced_sex_smote,sex,smote,41,3.0
same_size,DIATREND,balanced_age_smote_tomek,age,smote_tomek,33,1.0
same_size,DIATREND,balanced_age_undersampling_oversampling,age,undersampling_oversampling,49,5.0
same_size,DIATREND,balanced_age_undersampling_smote,age,undersampling_smote,48,4.0
same_size,DIATREND,balanced_sex_smote_tomek,sex,smote_tomek,38,3.0
same_size,DIATREND,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,34,2.0
same_size,DIATREND,balanced_sex_undersampling_smote,sex,undersampling_smote,50,6.0
same_size,REPLACE-BG,balanced_age_smote_tomek,age,smote_tomek,53,6.0
same_size,REPLACE-BG,balanced_age_undersampling_oversampling,age,undersampling_oversampling,39,2.0
same_size,REPLACE-BG,balanced_age_undersampling_smote,age,undersampling_smote,43,4.0
same_size,REPLACE-BG,balanced_sex_smote_tomek,sex,smote_tomek,31,1.0
same_size,REPLACE-BG,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,42,3.0
same_size,REPLACE-BG,balanced_sex_undersampling_smote,sex,undersampling_smote,44,5.0
same_size,T1DiabetesGranada,balanced_age_smote_tomek,age,smote_tomek,30,2.0
same_size,T1DiabetesGranada,balanced_age_undersampling_oversampling,age,undersampling_oversampling,47,4.0
same_size,T1DiabetesGranada,balanced_age_undersampling_smote,age,undersampling_smote,27,1.0
same_size,T1DiabetesGranada,balanced_sex_smote_tomek,sex,smote_tomek,42,3.0
same_size,T1DiabetesGranada,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,53,5.0
same_size,T1DiabetesGranada,balanced_sex_undersampling_smote,sex,undersampling_smote,53,5.0
undersampling,DIATREND,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,66,6.0
undersampling,DIATREND,balanced_age_tomek_links,age,tomek_links,21,1.0
undersampling,DIATREND,balanced_age_undersampling,age,undersampling,61,5.0
undersampling,DIATREND,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,44,4.0
undersampling,DIATREND,balanced_sex_tomek_links,sex,tomek_links,27,2.0
undersampling,DIATREND,balanced_sex_undersampling,sex,undersampling,33,3.0
undersampling,REPLACE-BG,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,59,6.0
undersampling,REPLACE-BG,balanced_age_tomek_links,age,tomek_links,21,1.0
undersampling,REPLACE-BG,balanced_age_undersampling,age,undersampling,58,5.0
undersampling,REPLACE-BG,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,32,2.0
undersampling,REPLACE-BG,balanced_sex_tomek_links,sex,tomek_links,50,4.0
undersampling,REPLACE-BG,balanced_sex_undersampling,sex,undersampling,32,2.0
undersampling,T1DiabetesGranada,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,38,2.0
undersampling,T1DiabetesGranada,balanced_age_tomek_links,age,tomek_links,29,1.0
undersampling,T1DiabetesGranada,balanced_age_undersampling,age,undersampling,43,4.0
undersampling,T1DiabetesGranada,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,42,3.0
undersampling,T1DiabetesGranada,balanced_sex_tomek_links,sex,tomek_links,48,5.0
undersampling,T1DiabetesGranada,balanced_sex_undersampling,sex,undersampling,52,6.0
