dataset,condition,dimension,technique,range,metric,mean_original,mean_balanced,cohens_d,effect_size
DIATREND,balanced_age_jittering,age,jittering,TBR_2,RMSE,75.282,73.554,0.2336,small
DIATREND,balanced_age_oversampling,age,oversampling,TBR_2,RMSE,75.282,73.228,0.2866,small
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,TBR_2,RMSE,75.282,72.87,0.3514,small
DIATREND,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,TBR_2,RMSE,75.282,79.658,-0.5959,medium
DIATREND,balanced_age_smote,age,smote,TBR_2,RMSE,75.282,72.712,0.363,small
DIATREND,balanced_age_smote_tomek,age,smote_tomek,TBR_2,RMSE,75.282,73.35,0.2645,small
DIATREND,balanced_age_tomek_links,age,tomek_links,TBR_2,RMSE,75.282,73.884,0.1904,negligible
DIATREND,balanced_age_undersampling,age,undersampling,TBR_2,RMSE,75.282,78.956,-0.5111,medium
DIATREND,balanced_age_undersampling_oversampling,age,undersampling_oversampling,TBR_2,RMSE,75.282,74.11,0.1713,negligible
DIATREND,balanced_age_undersampling_smote,age,undersampling_smote,TBR_2,RMSE,75.282,73.876,0.195,negligible
DIATREND,balanced_sex_jittering,sex,jittering,TBR_2,RMSE,75.282,75.152,0.0177,negligible
DIATREND,balanced_sex_oversampling,sex,oversampling,TBR_2,RMSE,75.282,74.38,0.1292,negligible
DIATREND,balanced_sex_oversampling_tomek,sex,oversampling_tomek,TBR_2,RMSE,75.282,75.138,0.0201,negligible
DIATREND,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,TBR_2,RMSE,75.282,76.122,-0.1253,negligible
DIATREND,balanced_sex_smote,sex,smote,TBR_2,RMSE,75.282,74.316,0.1386,negligible
DIATREND,balanced_sex_smote_tomek,sex,smote_tomek,TBR_2,RMSE,75.282,74.592,0.0986,negligible
DIATREND,balanced_sex_tomek_links,sex,tomek_links,TBR_2,RMSE,75.282,74.148,0.1665,negligible
DIATREND,balanced_sex_undersampling,sex,undersampling,TBR_2,RMSE,75.282,74.818,0.0616,negligible
DIATREND,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,TBR_2,RMSE,75.282,74.174,0.1489,negligible
DIATREND,balanced_sex_undersampling_smote,sex,undersampling_smote,TBR_2,RMSE,75.282,74.932,0.0474,negligible
DIATREND,balanced_age_jittering,age,jittering,TBR_2,MAE,71.218,69.762,0.2214,small
DIATREND,balanced_age_oversampling,age,oversampling,TBR_2,MAE,71.218,69.598,0.2574,small
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,TBR_2,MAE,71.218,68.928,0.3943,small
DIATREND,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,TBR_2,MAE,71.218,76.392,-0.8603,large
DIATREND,balanced_age_smote,age,smote,TBR_2,MAE,71.218,69.044,0.3587,small
DIATREND,balanced_age_smote_tomek,age,smote_tomek,TBR_2,MAE,71.218,69.72,0.2391,small
DIATREND,balanced_age_tomek_links,age,tomek_links,TBR_2,MAE,71.218,69.554,0.2575,small
DIATREND,balanced_age_undersampling,age,undersampling,TBR_2,MAE,71.218,75.434,-0.7188,medium
DIATREND,balanced_age_undersampling_oversampling,age,undersampling_oversampling,TBR_2,MAE,71.218,70.634,0.0994,negligible
DIATREND,balanced_age_undersampling_smote,age,undersampling_smote,TBR_2,MAE,71.218,70.23,0.1583,negligible
DIATREND,balanced_sex_jittering,sex,jittering,TBR_2,MAE,71.218,71.122,0.0153,negligible
DIATREND,balanced_sex_oversampling,sex,oversampling,TBR_2,MAE,71.218,69.824,0.2243,small
DIATREND,balanced_sex_oversampling_tomek,sex,oversampling_tomek,TBR_2,MAE,71.218,70.94,0.0445,negligible
DIATREND,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,TBR_2,MAE,71.218,72.866,-0.2916,small
DIATREND,balanced_sex_smote,sex,smote,TBR_2,MAE,71.218,70.068,0.1905,negligible
