dataset,condition,dimension,technique,is_original,fold,range,metric,value
DIATREND,balanced_age_jittering,age,jittering,False,1,TBR_2,A,0.0
DIATREND,balanced_age_jittering,age,jittering,False,1,TBR_2,B,0.0
DIATREND,balanced_age_jittering,age,jittering,False,1,TBR_2,C,0.0
DIATREND,balanced_age_jittering,age,jittering,False,1,TBR_2,D,96.09
DIATREND,balanced_age_jittering,age,jittering,False,1,TBR_2,E,3.91
DIATREND,balanced_age_jittering,age,jittering,False,1,TBR_2,A + B,0.0
DIATREND,balanced_age_jittering,age,jittering,False,1,TBR_2,RMSE,81.03
DIATREND,balanced_age_jittering,age,jittering,False,1,TBR_2,MSE,6566.15
DIATREND,balanced_age_jittering,age,jittering,False,1,TBR_2,MAE,76.97
DIATREND,balanced_age_jittering,age,jittering,False,1,TBR_2,MAPE,1.67
DIATREND,balanced_age_jittering,age,jittering,False,1,TBR_1,A,0.06
DIATREND,balanced_age_jittering,age,jittering,False,1,TBR_1,B,0.0
DIATREND,balanced_age_jittering,age,jittering,False,1,TBR_1,C,0.0
DIATREND,balanced_age_jittering,age,jittering,False,1,TBR_1,D,97.46
DIATREND,balanced_age_jittering,age,jittering,False,1,TBR_1,E,2.48
DIATREND,balanced_age_jittering,age,jittering,False,1,TBR_1,A + B,0.06
DIATREND,balanced_age_jittering,age,jittering,False,1,TBR_1,RMSE,62.21
DIATREND,balanced_age_jittering,age,jittering,False,1,TBR_1,MSE,3869.6
DIATREND,balanced_age_jittering,age,jittering,False,1,TBR_1,MAE,57.45
DIATREND,balanced_age_jittering,age,jittering,False,1,TBR_1,MAPE,0.91
DIATREND,balanced_age_jittering,age,jittering,False,1,TIR,A,70.03
DIATREND,balanced_age_jittering,age,jittering,False,1,TIR,B,29.59
DIATREND,balanced_age_jittering,age,jittering,False,1,TIR,C,0.38
DIATREND,balanced_age_jittering,age,jittering,False,1,TIR,D,0.0
DIATREND,balanced_age_jittering,age,jittering,False,1,TIR,E,0.0
DIATREND,balanced_age_jittering,age,jittering,False,1,TIR,A + B,99.62
DIATREND,balanced_age_jittering,age,jittering,False,1,TIR,RMSE,28.85
DIATREND,balanced_age_jittering,age,jittering,False,1,TIR,MSE,832.41
DIATREND,balanced_age_jittering,age,jittering,False,1,TIR,MAE,21.44
