dataset,range,metric,n_conditions,n_folds,friedman_stat,friedman_pval,significant
DIATREND,TBR_2,RMSE,19,5,44.6889,0.00046,True
DIATREND,TBR_2,MAE,19,5,40.823,0.00161,True
DIATREND,TBR_1,RMSE,19,5,47.8031,0.000161,True
DIATREND,TBR_1,MAE,19,5,43.2531,0.000737,True
DIATREND,TIR,RMSE,19,5,67.417,0.0,True
DIATREND,TIR,MAE,19,5,64.7716,0.0,True
DIATREND,TAR_1,RMSE,19,5,72.5311,0.0,True
DIATREND,TAR_1,MAE,19,5,75.1211,0.0,True
DIATREND,TAR_2,RMSE,19,5,76.545,0.0,True
DIATREND,TAR_2,MAE,19,5,73.0518,0.0,True
DIATREND,ENTIRE,RMSE,19,5,78.2148,0.0,True
DIATREND,ENTIRE,MAE,19,5,76.0295,0.0,True
REPLACE-BG,TBR_2,RMSE,19,5,12.5801,0.81589,False
REPLACE-BG,TBR_2,MAE,19,5,13.8687,0.737606,False
REPLACE-BG,TBR_1,RMSE,19,5,13.0737,0.787177,False
REPLACE-BG,TBR_1,MAE,19,5,14.06,0.72517,False
REPLACE-BG,TIR,RMSE,19,5,18.0602,0.451695,False
REPLACE-BG,TIR,MAE,19,5,20.9503,0.281928,False
REPLACE-BG,TAR_1,RMSE,19,5,22.9731,0.191624,False
REPLACE-BG,TAR_1,MAE,19,5,18.4392,0.427093,False
REPLACE-BG,TAR_2,RMSE,19,5,27.3127,0.073314,False
REPLACE-BG,TAR_2,MAE,19,5,27.942,0.062943,False
REPLACE-BG,ENTIRE,RMSE,19,5,23.9589,0.156379,False
REPLACE-BG,ENTIRE,MAE,19,5,24.2691,0.146407,False
T1DiabetesGranada,TBR_2,RMSE,19,5,18.3792,0.430947,False
T1DiabetesGranada,TBR_2,MAE,19,5,15.5549,0.623578,False
T1DiabetesGranada,TBR_1,RMSE,19,5,17.5831,0.483418,False
T1DiabetesGranada,TBR_1,MAE,19,5,15.9596,0.595364,False
T1DiabetesGranada,TIR,RMSE,19,5,19.6588,0.352352,False
T1DiabetesGranada,TIR,MAE,19,5,16.4487,0.561263,False
T1DiabetesGranada,TAR_1,RMSE,19,5,19.4863,0.36247,False
T1DiabetesGranada,TAR_1,MAE,19,5,20.7284,0.293335,False
T1DiabetesGranada,TAR_2,RMSE,19,5,32.7109,0.018086,True
T1DiabetesGranada,TAR_2,MAE,19,5,30.6111,0.031913,True
T1DiabetesGranada,ENTIRE,RMSE,19,5,26.8608,0.081644,False
T1DiabetesGranada,ENTIRE,MAE,19,5,24.6266,0.135552,False
