family,dataset,range,metric,n_conditions,n_folds,friedman_stat,friedman_pval,significant
guided,DIATREND,TBR_2,RMSE,10,5,27.8509,0.00101,True
guided,DIATREND,TBR_2,MAE,10,5,23.3564,0.005444,True
guided,DIATREND,TBR_1,RMSE,10,5,24.8155,0.003182,True
guided,DIATREND,TBR_1,MAE,10,5,24.0982,0.004149,True
guided,DIATREND,TIR,RMSE,10,5,32.0461,0.000196,True
guided,DIATREND,TIR,MAE,10,5,30.1893,0.000407,True
guided,DIATREND,TAR_1,RMSE,10,5,35.4,5.1e-05,True
guided,DIATREND,TAR_1,MAE,10,5,36.9709,2.7e-05,True
guided,DIATREND,TAR_2,RMSE,10,5,39.233,1e-05,True
guided,DIATREND,TAR_2,MAE,10,5,37.4073,2.2e-05,True
guided,DIATREND,ENTIRE,RMSE,10,5,40.5927,6e-06,True
guided,DIATREND,ENTIRE,MAE,10,5,39.4515,1e-05,True
guided,REPLACE-BG,TBR_2,RMSE,10,5,10.92,0.281232,False
guided,REPLACE-BG,TBR_2,MAE,10,5,10.7018,0.296703,False
guided,REPLACE-BG,TBR_1,RMSE,10,5,10.2655,0.329426,False
guided,REPLACE-BG,TBR_1,MAE,10,5,10.9636,0.27821,False
guided,REPLACE-BG,TIR,RMSE,10,5,5.3978,0.798344,False
guided,REPLACE-BG,TIR,MAE,10,5,7.8256,0.551812,False
guided,REPLACE-BG,TAR_1,RMSE,10,5,10.2029,0.334309,False
guided,REPLACE-BG,TAR_1,MAE,10,5,9.3609,0.404651,False
guided,REPLACE-BG,TAR_2,RMSE,10,5,22.5709,0.007235,True
guided,REPLACE-BG,TAR_2,MAE,10,5,22.4782,0.007481,True
guided,REPLACE-BG,ENTIRE,RMSE,10,5,18.0328,0.034794,True
guided,REPLACE-BG,ENTIRE,MAE,10,5,14.9891,0.091237,False
guided,T1DiabetesGranada,TBR_2,RMSE,10,5,9.5468,0.388405,False
guided,T1DiabetesGranada,TBR_2,MAE,10,5,9.5236,0.390406,False
guided,T1DiabetesGranada,TBR_1,RMSE,10,5,8.8471,0.451508,False
guided,T1DiabetesGranada,TBR_1,MAE,10,5,6.0764,0.732252,False
guided,T1DiabetesGranada,TIR,RMSE,10,5,11.3215,0.254313,False
guided,T1DiabetesGranada,TIR,MAE,10,5,9.503,0.392192,False
guided,T1DiabetesGranada,TAR_1,RMSE,10,5,7.9296,0.541255,False
guided,T1DiabetesGranada,TAR_1,MAE,10,5,9.3055,0.409569,False
guided,T1DiabetesGranada,TAR_2,RMSE,10,5,20.3949,0.015626,True
guided,T1DiabetesGranada,TAR_2,MAE,10,5,19.6075,0.020495,True
guided,T1DiabetesGranada,ENTIRE,RMSE,10,5,13.8453,0.127935,False
guided,T1DiabetesGranada,ENTIRE,MAE,10,5,13.1993,0.153795,False
random,DIATREND,TBR_2,RMSE,6,5,11.6286,0.040247,True
random,DIATREND,TBR_2,MAE,6,5,13.3429,0.020369,True
random,DIATREND,TBR_1,RMSE,6,5,16.4286,0.005721,True
random,DIATREND,TBR_1,MAE,6,5,14.422,0.01314,True
random,DIATREND,TIR,RMSE,6,5,17.6857,0.003367,True
random,DIATREND,TIR,MAE,6,5,18.8506,0.002049,True
random,DIATREND,TAR_1,RMSE,6,5,19.7126,0.001415,True
random,DIATREND,TAR_1,MAE,6,5,20.8857,0.000851,True
random,DIATREND,TAR_2,RMSE,6,5,21.8,0.000571,True
random,DIATREND,TAR_2,MAE,6,5,22.1429,0.000492,True
random,DIATREND,ENTIRE,RMSE,6,5,22.1429,0.000492,True
random,DIATREND,ENTIRE,MAE,6,5,21.7816,0.000576,True
random,REPLACE-BG,TBR_2,RMSE,6,5,1.0,0.962566,False
random,REPLACE-BG,TBR_2,MAE,6,5,1.9143,0.860874,False
random,REPLACE-BG,TBR_1,RMSE,6,5,0.6571,0.985238,False
random,REPLACE-BG,TBR_1,MAE,6,5,1.5714,0.904683,False
random,REPLACE-BG,TIR,RMSE,6,5,7.6437,0.176997,False
random,REPLACE-BG,TIR,MAE,6,5,4.7688,0.444745,False
random,REPLACE-BG,TAR_1,RMSE,6,5,3.908,0.56273,False
random,REPLACE-BG,TAR_1,MAE,6,5,4.0857,0.537142,False
random,REPLACE-BG,TAR_2,RMSE,6,5,3.6286,0.604029,False
random,REPLACE-BG,TAR_2,MAE,6,5,3.8571,0.570162,False
random,REPLACE-BG,ENTIRE,RMSE,6,5,3.1714,0.673576,False
random,REPLACE-BG,ENTIRE,MAE,6,5,8.6571,0.123546,False
