family,dataset,range,metric,n_conditions,n_folds,friedman_stat,friedman_pval,significant
oversampling,DIATREND,TBR_2,RMSE,8,5,16.5895,0.020244,True
oversampling,DIATREND,TBR_2,MAE,8,5,8.7041,0.274608,False
oversampling,DIATREND,TBR_1,RMSE,8,5,21.0667,0.003673,True
oversampling,DIATREND,TBR_1,MAE,8,5,16.7333,0.019199,True
oversampling,DIATREND,TIR,RMSE,8,5,29.1722,0.000135,True
oversampling,DIATREND,TIR,MAE,8,5,26.8138,0.00036,True
oversampling,DIATREND,TAR_1,RMSE,8,5,29.2,0.000133,True
oversampling,DIATREND,TAR_1,MAE,8,5,29.6667,0.000109,True
oversampling,DIATREND,TAR_2,RMSE,8,5,28.5333,0.000176,True
oversampling,DIATREND,TAR_2,MAE,8,5,27.8,0.000239,True
oversampling,DIATREND,ENTIRE,RMSE,8,5,30.8902,6.5e-05,True
oversampling,DIATREND,ENTIRE,MAE,8,5,29.4,0.000122,True
oversampling,REPLACE-BG,TBR_2,RMSE,8,5,7.4667,0.381958,False
oversampling,REPLACE-BG,TBR_2,MAE,8,5,7.8,0.35056,False
oversampling,REPLACE-BG,TBR_1,RMSE,8,5,9.2667,0.234073,False
oversampling,REPLACE-BG,TBR_1,MAE,8,5,8.6372,0.279761,False
oversampling,REPLACE-BG,TIR,RMSE,8,5,10.5084,0.161546,False
oversampling,REPLACE-BG,TIR,MAE,8,5,10.3573,0.169213,False
oversampling,REPLACE-BG,TAR_1,RMSE,8,5,8.2392,0.311972,False
oversampling,REPLACE-BG,TAR_1,MAE,8,5,5.61,0.585945,False
oversampling,REPLACE-BG,TAR_2,RMSE,8,5,16.9333,0.017831,True
oversampling,REPLACE-BG,TAR_2,MAE,8,5,15.7876,0.027129,True
oversampling,REPLACE-BG,ENTIRE,RMSE,8,5,12.8473,0.075919,False
oversampling,REPLACE-BG,ENTIRE,MAE,8,5,11.1899,0.130547,False
oversampling,T1DiabetesGranada,TBR_2,RMSE,8,5,5.8305,0.559669,False
oversampling,T1DiabetesGranada,TBR_2,MAE,8,5,5.9642,0.543936,False
oversampling,T1DiabetesGranada,TBR_1,RMSE,8,5,3.1575,0.870058,False
oversampling,T1DiabetesGranada,TBR_1,MAE,8,5,4.7947,0.684994,False
oversampling,T1DiabetesGranada,TIR,RMSE,8,5,7.2847,0.399852,False
oversampling,T1DiabetesGranada,TIR,MAE,8,5,7.5048,0.378274,False
oversampling,T1DiabetesGranada,TAR_1,RMSE,8,5,6.0667,0.531987,False
oversampling,T1DiabetesGranada,TAR_1,MAE,8,5,6.6,0.47168,False
oversampling,T1DiabetesGranada,TAR_2,RMSE,8,5,7.9021,0.341302,False
oversampling,T1DiabetesGranada,TAR_2,MAE,8,5,7.0667,0.421972,False
oversampling,T1DiabetesGranada,ENTIRE,RMSE,8,5,8.729,0.272701,False
oversampling,T1DiabetesGranada,ENTIRE,MAE,8,5,6.2799,0.507473,False
undersampling,DIATREND,TBR_2,RMSE,6,5,15.8571,0.007264,True
undersampling,DIATREND,TBR_2,MAE,6,5,16.5429,0.005454,True
undersampling,DIATREND,TBR_1,RMSE,6,5,9.8,0.081105,False
undersampling,DIATREND,TBR_1,MAE,6,5,11.9714,0.035181,True
undersampling,DIATREND,TIR,RMSE,6,5,7.1387,0.210526,False
undersampling,DIATREND,TIR,MAE,6,5,7.4,0.19255,False
undersampling,DIATREND,TAR_1,RMSE,6,5,13.1034,0.022428,True
undersampling,DIATREND,TAR_1,MAE,6,5,17.4571,0.00371,True
undersampling,DIATREND,TAR_2,RMSE,6,5,19.1714,0.001786,True
undersampling,DIATREND,TAR_2,MAE,6,5,18.8286,0.002069,True
undersampling,DIATREND,ENTIRE,RMSE,6,5,19.9714,0.001265,True
undersampling,DIATREND,ENTIRE,MAE,6,5,21.1494,0.000759,True
undersampling,REPLACE-BG,TBR_2,RMSE,6,5,5.5172,0.356059,False
undersampling,REPLACE-BG,TBR_2,MAE,6,5,5.3429,0.375485,False
undersampling,REPLACE-BG,TBR_1,RMSE,6,5,4.2,0.520995,False
undersampling,REPLACE-BG,TBR_1,MAE,6,5,3.4,0.63857,False
undersampling,REPLACE-BG,TIR,RMSE,6,5,1.5714,0.904683,False
undersampling,REPLACE-BG,TIR,MAE,6,5,4.0698,0.539416,False
undersampling,REPLACE-BG,TAR_1,RMSE,6,5,2.8286,0.726395,False
undersampling,REPLACE-BG,TAR_1,MAE,6,5,1.4571,0.917962,False
undersampling,REPLACE-BG,TAR_2,RMSE,6,5,4.7714,0.444407,False
undersampling,REPLACE-BG,TAR_2,MAE,6,5,3.6286,0.604029,False
undersampling,REPLACE-BG,ENTIRE,RMSE,6,5,4.8276,0.437282,False
undersampling,REPLACE-BG,ENTIRE,MAE,6,5,7.8571,0.164286,False
undersampling,T1DiabetesGranada,TBR_2,RMSE,6,5,1.5714,0.904683,False
undersampling,T1DiabetesGranada,TBR_2,MAE,6,5,0.7714,0.97882,False
undersampling,T1DiabetesGranada,TBR_1,RMSE,6,5,4.023,0.546111,False
undersampling,T1DiabetesGranada,TBR_1,MAE,6,5,1.1143,0.952831,False
undersampling,T1DiabetesGranada,TIR,RMSE,6,5,4.7126,0.451946,False
undersampling,T1DiabetesGranada,TIR,MAE,6,5,4.2,0.520995,False
undersampling,T1DiabetesGranada,TAR_1,RMSE,6,5,2.7143,0.743933,False
undersampling,T1DiabetesGranada,TAR_1,MAE,6,5,2.8286,0.726395,False
undersampling,T1DiabetesGranada,TAR_2,RMSE,6,5,10.9429,0.052525,False
undersampling,T1DiabetesGranada,TAR_2,MAE,6,5,13.2286,0.021328,True
undersampling,T1DiabetesGranada,ENTIRE,RMSE,6,5,5.0575,0.408907,False
undersampling,T1DiabetesGranada,ENTIRE,MAE,6,5,6.9653,0.223232,False
same_size,DIATREND,TBR_2,RMSE,6,5,5.3429,0.375485,False
same_size,DIATREND,TBR_2,MAE,6,5,1.5714,0.904683,False
same_size,DIATREND,TBR_1,RMSE,6,5,10.7143,0.057349,False
same_size,DIATREND,TBR_1,MAE,6,5,7.7429,0.170988,False
same_size,DIATREND,TIR,RMSE,6,5,20.0857,0.001204,True
same_size,DIATREND,TIR,MAE,6,5,16.5429,0.005454,True
same_size,DIATREND,TAR_1,RMSE,6,5,20.843,0.000867,True
same_size,DIATREND,TAR_1,MAE,6,5,20.8857,0.000851,True
same_size,DIATREND,TAR_2,RMSE,6,5,21.1143,0.000771,True
same_size,DIATREND,TAR_2,MAE,6,5,20.8857,0.000851,True
same_size,DIATREND,ENTIRE,RMSE,6,5,21.1494,0.000759,True
same_size,DIATREND,ENTIRE,MAE,6,5,19.9714,0.001265,True
same_size,REPLACE-BG,TBR_2,RMSE,6,5,1.8,0.876068,False
same_size,REPLACE-BG,TBR_2,MAE,6,5,1.2286,0.942107,False
same_size,REPLACE-BG,TBR_1,RMSE,6,5,1.3429,0.930461,False
same_size,REPLACE-BG,TBR_1,MAE,6,5,1.4571,0.917962,False
same_size,REPLACE-BG,TIR,RMSE,6,5,2.1839,0.823157,False
same_size,REPLACE-BG,TIR,MAE,6,5,2.4713,0.780816,False
same_size,REPLACE-BG,TAR_1,RMSE,6,5,7.1714,0.2082,False
same_size,REPLACE-BG,TAR_1,MAE,6,5,10.1149,0.072043,False
same_size,REPLACE-BG,TAR_2,RMSE,6,5,3.5143,0.621227,False
same_size,REPLACE-BG,TAR_2,MAE,6,5,3.6207,0.60521,False
same_size,REPLACE-BG,ENTIRE,RMSE,6,5,4.8857,0.429987,False
same_size,REPLACE-BG,ENTIRE,MAE,6,5,5.1724,0.395203,False
same_size,T1DiabetesGranada,TBR_2,RMSE,6,5,6.3714,0.271736,False
same_size,T1DiabetesGranada,TBR_2,MAE,6,5,4.6571,0.459137,False
same_size,T1DiabetesGranada,TBR_1,RMSE,6,5,3.2857,0.65603,False
same_size,T1DiabetesGranada,TBR_1,MAE,6,5,4.0857,0.537142,False
same_size,T1DiabetesGranada,TIR,RMSE,6,5,5.6897,0.337597,False
same_size,T1DiabetesGranada,TIR,MAE,6,5,2.2674,0.811037,False
same_size,T1DiabetesGranada,TAR_1,RMSE,6,5,3.0571,0.691176,False
same_size,T1DiabetesGranada,TAR_1,MAE,6,5,4.6571,0.459137,False
same_size,T1DiabetesGranada,TAR_2,RMSE,6,5,5.1143,0.402093,False
same_size,T1DiabetesGranada,TAR_2,MAE,6,5,3.6286,0.604029,False
same_size,T1DiabetesGranada,ENTIRE,RMSE,6,5,1.9143,0.860874,False
same_size,T1DiabetesGranada,ENTIRE,MAE,6,5,5.0,0.41588,False
