dataset,condition,dimension,technique,is_original,family_size,family_mechanism,range,metric,mean,std,baseline_mean,delta_abs,delta_pct,improvement_pct
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TBR_2,A,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TBR_2,B,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TBR_2,C,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TBR_2,D,97.07,1.86,96.53,0.539999999999992,0.5594115818916316,-0.5594115818916316
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TBR_2,E,2.93,1.86,3.47,-0.54,-15.561959654178676,15.561959654178676
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TBR_2,A + B,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TBR_2,RMSE,73.55,7.47,75.28,-1.730000000000004,-2.298087141339006,2.298087141339006
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TBR_2,MSE,5454.86,1119.55,5710.57,-255.71000000000004,-4.477836713322839,4.477836713322839
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TBR_2,MAE,69.76,6.99,71.22,-1.4599999999999937,-2.049985959000272,2.049985959000272
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TBR_2,MAPE,1.54,0.14,1.57,-0.030000000000000027,-1.9108280254777086,1.9108280254777086
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TBR_1,A,0.03,0.07,0.01,0.019999999999999997,199.99999999999994,199.99999999999994
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TBR_1,B,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TBR_1,C,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TBR_1,D,97.59,1.16,97.11,0.480000000000004,0.4942848316342333,-0.4942848316342333
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TBR_1,E,2.38,1.19,2.88,-0.5,-17.36111111111111,17.36111111111111
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TBR_1,A + B,0.03,0.07,0.01,0.019999999999999997,199.99999999999994,199.99999999999994
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TBR_1,RMSE,58.27,4.45,59.82,-1.5499999999999972,-2.591106653293208,2.591106653293208
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TBR_1,MSE,3411.36,527.09,3591.41,-180.04999999999973,-5.013351302134809,5.013351302134809
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TBR_1,MAE,53.98,3.79,55.15,-1.1700000000000017,-2.1214868540344547,2.1214868540344547
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TBR_1,MAPE,0.86,0.06,0.88,-0.020000000000000018,-2.2727272727272747,2.2727272727272747
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TIR,A,67.38,2.69,66.2,1.1799999999999926,1.7824773413897168,1.7824773413897168
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TIR,B,32.08,2.63,33.14,-1.0600000000000023,-3.198551599275806,
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TIR,C,0.53,0.2,0.66,-0.13,-19.696969696969695,19.696969696969695
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TIR,D,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TIR,E,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TIR,A + B,99.47,0.2,99.34,0.12999999999999545,0.13086370042278583,0.13086370042278583
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TIR,RMSE,29.51,1.21,30.72,-1.2099999999999973,-3.9388020833333246,3.9388020833333246
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TIR,MSE,872.27,71.03,944.97,-72.70000000000005,-7.693365926960649,7.693365926960649
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TIR,MAE,21.88,0.88,22.67,-0.7900000000000027,-3.4847816497574,3.4847816497574
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TIR,MAPE,0.18,0.01,0.19,-0.010000000000000009,-5.263157894736847,5.263157894736847
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TAR_1,A,67.68,1.42,70.98,-3.299999999999997,-4.64919695688926,-4.64919695688926
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TAR_1,B,29.7,1.25,26.82,2.879999999999999,10.738255033557042,
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TAR_1,C,0.12,0.08,0.1,0.01999999999999999,19.99999999999999,-19.99999999999999
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TAR_1,D,2.5,0.17,2.11,0.3900000000000001,18.48341232227489,-18.48341232227489
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TAR_1,E,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TAR_1,A + B,97.37,0.2,97.79,-0.4200000000000017,-0.4294917680744469,-0.4294917680744469
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TAR_1,RMSE,44.39,1.06,42.08,2.3100000000000023,5.4895437262357465,-5.4895437262357465
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TAR_1,MSE,1971.52,93.69,1771.85,199.67000000000007,11.269012613934592,-11.269012613934592
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TAR_1,MAE,35.34,0.86,32.9,2.440000000000005,7.416413373860198,-7.416413373860198
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TAR_1,MAPE,0.17,0.0,0.15,0.020000000000000018,13.333333333333346,-13.333333333333346
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TAR_2,A,52.84,2.46,56.98,-4.1399999999999935,-7.265707265707255,-7.265707265707255
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TAR_2,B,36.21,1.36,34.13,2.0799999999999983,6.094345150893637,
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TAR_2,C,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TAR_2,D,10.94,1.75,8.89,2.049999999999999,23.05961754780651,-23.05961754780651
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TAR_2,E,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TAR_2,A + B,89.05,1.75,91.11,-2.0600000000000023,-2.2610031829656485,-2.2610031829656485
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TAR_2,RMSE,76.43,2.79,72.34,4.090000000000003,5.653856787392871,-5.653856787392871
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TAR_2,MSE,5847.97,431.77,5246.21,601.7600000000002,11.47037575697504,-11.47037575697504
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TAR_2,MAE,64.84,2.06,60.55,4.290000000000006,7.085053674649061,-7.085053674649061
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,TAR_2,MAPE,0.21,0.01,0.2,0.009999999999999981,4.99999999999999,-4.99999999999999
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,ENTIRE,A,63.61,2.35,64.65,-1.0400000000000063,-1.6086620262954467,-1.6086620262954467
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,ENTIRE,B,31.57,1.54,30.95,0.620000000000001,2.003231017770601,
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,ENTIRE,C,0.31,0.12,0.36,-0.04999999999999999,-13.888888888888888,13.888888888888888
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,ENTIRE,D,4.47,0.78,3.98,0.48999999999999977,12.311557788944718,-12.311557788944718
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,ENTIRE,E,0.04,0.02,0.05,-0.010000000000000002,-20.000000000000004,20.000000000000004
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,ENTIRE,A + B,95.18,0.85,95.6,-0.4199999999999875,-0.43933054393304133,-0.43933054393304133
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,ENTIRE,RMSE,46.41,2.14,45.05,1.3599999999999994,3.0188679245283008,-3.0188679245283008
