condition,balanced_age_jittering,balanced_age_oversampling,balanced_age_oversampling_tomek,balanced_age_patient_aware_undersampling,balanced_age_smote,balanced_age_smote_tomek,balanced_age_tomek_links,balanced_age_undersampling,balanced_age_undersampling_oversampling,balanced_age_undersampling_smote,balanced_sex_jittering,balanced_sex_oversampling,balanced_sex_oversampling_tomek,balanced_sex_patient_aware_undersampling,balanced_sex_smote,balanced_sex_smote_tomek,balanced_sex_tomek_links,balanced_sex_undersampling,balanced_sex_undersampling_oversampling,balanced_sex_undersampling_smote,original
balanced_age_jittering,1.0,1.0,0.9765,1.0,1.0,1.0,0.0172,1.0,1.0,1.0,0.8909,0.1902,0.6894,0.9298,0.0949,0.1362,0.1183,0.3562,0.2291,0.779,0.2431
balanced_age_oversampling,1.0,1.0,0.9799,1.0,1.0,1.0,0.0189,1.0,1.0,1.0,0.9017,0.2026,0.7082,0.9377,0.1022,0.146,0.127,0.3742,0.2431,0.7953,0.2577
balanced_age_oversampling_tomek,0.9765,0.9799,1.0,0.5908,1.0,1.0,0.8671,0.811,0.9986,0.9993,1.0,0.9991,1.0,1.0,0.9917,0.9971,0.9955,1.0,0.9996,1.0,0.9997
balanced_age_patient_aware_undersampling,1.0,1.0,0.5908,1.0,0.9799,0.9971,0.0007,1.0,0.9999,0.9999,0.3562,0.0172,0.167,0.4307,0.0064,0.0106,0.0086,0.0462,0.0228,0.2291,0.025
balanced_age_smote,1.0,1.0,1.0,0.9799,1.0,1.0,0.3047,0.9982,1.0,1.0,1.0,0.8541,0.9982,1.0,0.6894,0.779,0.7446,0.9578,0.8909,0.9995,0.9017
balanced_age_smote_tomek,1.0,1.0,1.0,0.9971,1.0,1.0,0.167,0.9999,1.0,1.0,0.9991,0.6894,0.9856,0.9997,0.4897,0.5908,0.5503,0.8671,0.7446,0.9944,0.7621
balanced_age_tomek_links,0.0172,0.0189,0.8671,0.0007,0.3047,0.167,1.0,0.0027,0.0593,0.0753,0.9682,1.0,0.9971,0.945,1.0,1.0,1.0,1.0,1.0,0.9917,1.0
balanced_age_undersampling,1.0,1.0,0.811,1.0,0.9982,0.9999,0.0027,1.0,1.0,1.0,0.5908,0.0502,0.3386,0.6702,0.0207,0.0327,0.0273,0.1183,0.0643,0.4307,0.0696
balanced_age_undersampling_oversampling,1.0,1.0,0.9986,0.9999,1.0,1.0,0.0593,1.0,1.0,1.0,0.983,0.4115,0.9017,0.9917,0.2431,0.3214,0.2886,0.6309,0.4698,0.945,0.4897
balanced_age_undersampling_smote,1.0,1.0,0.9993,0.9999,1.0,1.0,0.0753,1.0,1.0,1.0,0.99,0.4698,0.9298,0.9955,0.2886,0.3742,0.3386,0.6894,0.53,0.9632,0.5503
balanced_sex_jittering,0.8909,0.9017,1.0,0.3562,1.0,0.9991,0.9682,0.5908,0.983,0.99,1.0,1.0,1.0,1.0,0.9995,0.9999,0.9998,1.0,1.0,1.0,1.0
balanced_sex_oversampling,0.1902,0.2026,0.9991,0.0172,0.8541,0.6894,1.0,0.0502,0.4115,0.4698,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_oversampling_tomek,0.6894,0.7082,1.0,0.167,0.9982,0.9856,0.9971,0.3386,0.9017,0.9298,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_patient_aware_undersampling,0.9298,0.9377,1.0,0.4307,1.0,0.9997,0.945,0.6702,0.9917,0.9955,1.0,0.9999,1.0,1.0,0.9986,0.9996,0.9993,1.0,1.0,1.0,1.0
balanced_sex_smote,0.0949,0.1022,0.9917,0.0064,0.6894,0.4897,1.0,0.0207,0.2431,0.2886,0.9995,1.0,1.0,0.9986,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_smote_tomek,0.1362,0.146,0.9971,0.0106,0.779,0.5908,1.0,0.0327,0.3214,0.3742,0.9999,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_tomek_links,0.1183,0.127,0.9955,0.0086,0.7446,0.5503,1.0,0.0273,0.2886,0.3386,0.9998,1.0,1.0,0.9993,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_undersampling,0.3562,0.3742,1.0,0.0462,0.9578,0.8671,1.0,0.1183,0.6309,0.6894,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_undersampling_oversampling,0.2291,0.2431,0.9996,0.0228,0.8909,0.7446,1.0,0.0643,0.4698,0.53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_undersampling_smote,0.779,0.7953,1.0,0.2291,0.9995,0.9944,0.9917,0.4307,0.945,0.9632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
original,0.2431,0.2577,0.9997,0.025,0.9017,0.7621,1.0,0.0696,0.4897,0.5503,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
