condition,balanced_age_jittering,balanced_age_oversampling,balanced_age_oversampling_tomek,balanced_age_patient_aware_undersampling,balanced_age_smote,balanced_age_smote_tomek,balanced_age_tomek_links,balanced_age_undersampling,balanced_age_undersampling_oversampling,balanced_age_undersampling_smote,balanced_sex_jittering,balanced_sex_oversampling,balanced_sex_oversampling_tomek,balanced_sex_patient_aware_undersampling,balanced_sex_smote,balanced_sex_smote_tomek,balanced_sex_tomek_links,balanced_sex_undersampling,balanced_sex_undersampling_oversampling,balanced_sex_undersampling_smote,original
balanced_age_jittering,1.0,1.0,0.9765,1.0,1.0,1.0,0.0228,1.0,1.0,1.0,0.9517,0.0643,0.127,0.7446,0.0389,0.1362,0.1562,0.2577,0.1022,0.5503,0.1183
balanced_age_oversampling,1.0,1.0,0.9971,1.0,1.0,1.0,0.0593,1.0,1.0,1.0,0.9917,0.146,0.2577,0.9017,0.0949,0.2729,0.3047,0.4501,0.2156,0.7621,0.2431
balanced_age_oversampling_tomek,0.9765,0.9971,1.0,0.7621,1.0,1.0,0.9017,0.8541,1.0,0.9997,1.0,0.9799,0.9963,1.0,0.9517,0.9971,0.9982,0.9998,0.9932,1.0,0.9955
balanced_age_patient_aware_undersampling,1.0,1.0,0.7621,1.0,0.9971,0.9963,0.0027,1.0,0.9999,1.0,0.6702,0.0096,0.0228,0.3386,0.0052,0.025,0.0299,0.0593,0.0172,0.1902,0.0207
balanced_age_smote,1.0,1.0,1.0,0.9971,1.0,1.0,0.3386,0.9993,1.0,1.0,1.0,0.5705,0.7446,0.9989,0.4501,0.7621,0.7953,0.9017,0.6894,0.99,0.7267
balanced_age_smote_tomek,1.0,1.0,1.0,0.9963,1.0,1.0,0.3562,0.9991,1.0,1.0,1.0,0.5908,0.7621,0.9991,0.4698,0.779,0.811,0.9118,0.7082,0.9917,0.7446
balanced_age_tomek_links,0.0228,0.0593,0.9017,0.0027,0.3386,0.3562,1.0,0.0052,0.1783,0.1183,0.945,1.0,1.0,0.9971,1.0,1.0,1.0,1.0,1.0,0.9998,1.0
balanced_age_undersampling,1.0,1.0,0.8541,1.0,0.9993,0.9991,0.0052,1.0,1.0,1.0,0.779,0.0172,0.0389,0.4501,0.0096,0.0424,0.0502,0.0949,0.0299,0.2729,0.0357
balanced_age_undersampling_oversampling,1.0,1.0,1.0,0.9999,1.0,1.0,0.1783,1.0,1.0,1.0,0.9998,0.3562,0.53,0.988,0.2577,0.5503,0.5908,0.7446,0.4698,0.945,0.5098
balanced_age_undersampling_smote,1.0,1.0,0.9997,1.0,1.0,1.0,0.1183,1.0,1.0,1.0,0.9989,0.2577,0.4115,0.9682,0.1783,0.4307,0.4698,0.6309,0.3562,0.8909,0.3927
balanced_sex_jittering,0.9517,0.9917,1.0,0.6702,1.0,1.0,0.945,0.779,0.9998,0.9989,1.0,0.9917,0.9989,1.0,0.9765,0.9991,0.9995,1.0,0.9977,1.0,0.9986
balanced_sex_oversampling,0.0643,0.146,0.9799,0.0096,0.5705,0.5908,1.0,0.0172,0.3562,0.2577,0.9917,1.0,1.0,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_oversampling_tomek,0.127,0.2577,0.9963,0.0228,0.7446,0.7621,1.0,0.0389,0.53,0.4115,0.9989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_patient_aware_undersampling,0.7446,0.9017,1.0,0.3386,0.9989,0.9991,0.9971,0.4501,0.988,0.9682,1.0,0.9999,1.0,1.0,0.9993,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_smote,0.0389,0.0949,0.9517,0.0052,0.4501,0.4698,1.0,0.0096,0.2577,0.1783,0.9765,1.0,1.0,0.9993,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_smote_tomek,0.1362,0.2729,0.9971,0.025,0.7621,0.779,1.0,0.0424,0.5503,0.4307,0.9991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_tomek_links,0.1562,0.3047,0.9982,0.0299,0.7953,0.811,1.0,0.0502,0.5908,0.4698,0.9995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_undersampling,0.2577,0.4501,0.9998,0.0593,0.9017,0.9118,1.0,0.0949,0.7446,0.6309,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_undersampling_oversampling,0.1022,0.2156,0.9932,0.0172,0.6894,0.7082,1.0,0.0299,0.4698,0.3562,0.9977,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_undersampling_smote,0.5503,0.7621,1.0,0.1902,0.99,0.9917,0.9998,0.2729,0.945,0.8909,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
original,0.1183,0.2431,0.9955,0.0207,0.7267,0.7446,1.0,0.0357,0.5098,0.3927,0.9986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
