condition,balanced_age_jittering,balanced_age_oversampling,balanced_age_patient_aware_undersampling,balanced_age_smote,balanced_age_smote_tomek,balanced_age_tomek_links,balanced_age_undersampling,balanced_age_undersampling_oversampling,balanced_age_undersampling_smote,balanced_sex_jittering,balanced_sex_oversampling,balanced_sex_patient_aware_undersampling,balanced_sex_smote,balanced_sex_smote_tomek,balanced_sex_tomek_links,balanced_sex_undersampling,balanced_sex_undersampling_oversampling,balanced_sex_undersampling_smote,original
balanced_age_jittering,1.0,1.0,1.0,1.0,1.0,0.0236,0.9951,1.0,1.0,0.8494,0.7469,0.9668,0.784,0.4912,0.2917,0.7274,0.1281,0.9126,0.0422
balanced_age_oversampling,1.0,1.0,0.9989,1.0,1.0,0.0016,0.8183,1.0,1.0,0.366,0.258,0.6229,0.2917,0.1096,0.0464,0.2421,0.0141,0.4696,0.0033
balanced_age_patient_aware_undersampling,1.0,0.9989,1.0,1.0,0.9999,0.1604,1.0,1.0,1.0,0.9951,0.9832,0.9998,0.9885,0.9017,0.7469,0.9798,0.4912,0.9986,0.2421
balanced_age_smote,1.0,1.0,1.0,1.0,1.0,0.0102,0.976,1.0,1.0,0.7073,0.5792,0.9017,0.6229,0.3277,0.1724,0.5571,0.0664,0.8015,0.0193
balanced_age_smote_tomek,1.0,1.0,0.9999,1.0,1.0,0.0041,0.9227,1.0,1.0,0.5351,0.4063,0.784,0.4482,0.1983,0.0932,0.3859,0.0318,0.6445,0.0082
balanced_age_tomek_links,0.0236,0.0016,0.1604,0.0102,0.0041,1.0,0.7274,0.0127,0.0127,0.9798,0.9938,0.8899,0.9906,0.9998,1.0,0.9951,1.0,0.955,1.0
balanced_age_undersampling,0.9951,0.8183,1.0,0.976,0.9227,0.7274,1.0,0.9832,0.9832,1.0,1.0,1.0,1.0,0.9998,0.9969,1.0,0.9668,1.0,0.8343
balanced_age_undersampling_oversampling,1.0,1.0,1.0,1.0,1.0,0.0127,0.9832,1.0,1.0,0.7469,0.6229,0.9227,0.6658,0.366,0.1983,0.6011,0.0788,0.8343,0.0236
balanced_age_undersampling_smote,1.0,1.0,1.0,1.0,1.0,0.0127,0.9832,1.0,1.0,0.7469,0.6229,0.9227,0.6658,0.366,0.1983,0.6011,0.0788,0.8343,0.0236
balanced_sex_jittering,0.8494,0.366,0.9951,0.7073,0.5351,0.9798,1.0,0.7469,0.7469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,1.0,0.9938
balanced_sex_oversampling,0.7469,0.258,0.9832,0.5792,0.4063,0.9938,1.0,0.6229,0.6229,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9986
balanced_sex_patient_aware_undersampling,0.9668,0.6229,0.9998,0.9017,0.784,0.8899,1.0,0.9227,0.9227,1.0,1.0,1.0,1.0,1.0,0.9998,1.0,0.9951,1.0,0.9481
balanced_sex_smote,0.784,0.2917,0.9885,0.6229,0.4482,0.9906,1.0,0.6658,0.6658,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9976
balanced_sex_smote_tomek,0.4912,0.1096,0.9017,0.3277,0.1983,0.9998,0.9998,0.366,0.366,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_tomek_links,0.2917,0.0464,0.7469,0.1724,0.0932,1.0,0.9969,0.1983,0.1983,1.0,1.0,0.9998,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_undersampling,0.7274,0.2421,0.9798,0.5571,0.3859,0.9951,1.0,0.6011,0.6011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9989
balanced_sex_undersampling_oversampling,0.1281,0.0141,0.4912,0.0664,0.0318,1.0,0.9668,0.0788,0.0788,0.9998,1.0,0.9951,1.0,1.0,1.0,1.0,1.0,0.9992,1.0
balanced_sex_undersampling_smote,0.9126,0.4696,0.9986,0.8015,0.6445,0.955,1.0,0.8343,0.8343,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9992,1.0,0.9832
original,0.0422,0.0033,0.2421,0.0193,0.0082,1.0,0.8343,0.0236,0.0236,0.9938,0.9986,0.9481,0.9976,1.0,1.0,0.9989,1.0,0.9832,1.0
