condition,balanced_age_jittering,balanced_age_oversampling,balanced_age_oversampling_tomek,balanced_age_patient_aware_undersampling,balanced_age_smote,balanced_age_smote_tomek,balanced_age_tomek_links,balanced_age_undersampling,balanced_age_undersampling_oversampling,balanced_age_undersampling_smote,balanced_sex_jittering,balanced_sex_oversampling,balanced_sex_oversampling_tomek,balanced_sex_patient_aware_undersampling,balanced_sex_smote,balanced_sex_smote_tomek,balanced_sex_tomek_links,balanced_sex_undersampling,balanced_sex_undersampling_oversampling,balanced_sex_undersampling_smote,original
balanced_age_jittering,1.0,1.0,1.0,0.9917,1.0,1.0,0.0106,0.8541,1.0,1.0,0.7953,0.5908,0.4501,0.9632,0.5705,0.3562,0.3742,0.6894,0.1362,0.9298,0.0142
balanced_age_oversampling,1.0,1.0,1.0,0.8909,1.0,1.0,0.0015,0.53,1.0,1.0,0.4501,0.2577,0.167,0.7621,0.2431,0.1183,0.127,0.3386,0.0327,0.6702,0.0022
balanced_age_oversampling_tomek,1.0,1.0,1.0,1.0,1.0,1.0,0.0753,0.9932,1.0,1.0,0.9856,0.9298,0.8541,0.9996,0.9211,0.779,0.7953,0.9632,0.4698,0.9986,0.0949
balanced_age_patient_aware_undersampling,0.9917,0.8909,1.0,1.0,0.945,0.983,0.6894,1.0,0.9982,0.9632,1.0,1.0,1.0,1.0,1.0,0.9998,0.9999,1.0,0.99,1.0,0.7446
balanced_age_smote,1.0,1.0,1.0,0.945,1.0,1.0,0.003,0.6507,1.0,1.0,0.5705,0.3562,0.2431,0.8541,0.3386,0.1783,0.1902,0.4501,0.0546,0.779,0.0042
balanced_age_smote_tomek,1.0,1.0,1.0,0.983,1.0,1.0,0.007,0.7953,1.0,1.0,0.7267,0.5098,0.3742,0.9377,0.4897,0.2886,0.3047,0.6109,0.1022,0.8909,0.0096
balanced_age_tomek_links,0.0106,0.0015,0.0753,0.6894,0.003,0.007,1.0,0.9578,0.0207,0.0042,0.9765,0.9971,0.9995,0.8405,0.9977,0.9999,0.9999,0.9917,1.0,0.9017,1.0
balanced_age_undersampling,0.8541,0.53,0.9932,1.0,0.6507,0.7953,0.9578,1.0,0.9298,0.7082,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9725
balanced_age_undersampling_oversampling,1.0,1.0,1.0,0.9982,1.0,1.0,0.0207,0.9298,1.0,1.0,0.8909,0.7267,0.5908,0.988,0.7082,0.4897,0.5098,0.811,0.2156,0.9725,0.0273
balanced_age_undersampling_smote,1.0,1.0,1.0,0.9632,1.0,1.0,0.0042,0.7082,1.0,1.0,0.6309,0.4115,0.2886,0.8909,0.3927,0.2156,0.2291,0.5098,0.0696,0.8261,0.0057
balanced_sex_jittering,0.7953,0.4501,0.9856,1.0,0.5705,0.7267,0.9765,1.0,0.8909,0.6309,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9856
balanced_sex_oversampling,0.5908,0.2577,0.9298,1.0,0.3562,0.5098,0.9971,1.0,0.7267,0.4115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9986
balanced_sex_oversampling_tomek,0.4501,0.167,0.8541,1.0,0.2431,0.3742,0.9995,1.0,0.5908,0.2886,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998
balanced_sex_patient_aware_undersampling,0.9632,0.7621,0.9996,1.0,0.8541,0.9377,0.8405,1.0,0.988,0.8909,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9986,1.0,0.8794
balanced_sex_smote,0.5705,0.2431,0.9211,1.0,0.3386,0.4897,0.9977,1.0,0.7082,0.3927,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9989
balanced_sex_smote_tomek,0.3562,0.1183,0.779,0.9998,0.1783,0.2886,0.9999,1.0,0.4897,0.2156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_tomek_links,0.3742,0.127,0.7953,0.9999,0.1902,0.3047,0.9999,1.0,0.5098,0.2291,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999
balanced_sex_undersampling,0.6894,0.3386,0.9632,1.0,0.4501,0.6109,0.9917,1.0,0.811,0.5098,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9955
balanced_sex_undersampling_oversampling,0.1362,0.0327,0.4698,0.99,0.0546,0.1022,1.0,1.0,0.2156,0.0696,1.0,1.0,1.0,0.9986,1.0,1.0,1.0,1.0,1.0,0.9996,1.0
balanced_sex_undersampling_smote,0.9298,0.6702,0.9986,1.0,0.779,0.8909,0.9017,1.0,0.9725,0.8261,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,0.9298
original,0.0142,0.0022,0.0949,0.7446,0.0042,0.0096,1.0,0.9725,0.0273,0.0057,0.9856,0.9986,0.9998,0.8794,0.9989,1.0,0.9999,0.9955,1.0,0.9298,1.0
