condition,balanced_age_jittering,balanced_age_oversampling,balanced_age_oversampling_tomek,balanced_age_patient_aware_undersampling,balanced_age_smote,balanced_age_smote_tomek,balanced_age_tomek_links,balanced_age_undersampling,balanced_age_undersampling_oversampling,balanced_age_undersampling_smote,balanced_sex_jittering,balanced_sex_oversampling,balanced_sex_oversampling_tomek,balanced_sex_patient_aware_undersampling,balanced_sex_smote,balanced_sex_smote_tomek,balanced_sex_tomek_links,balanced_sex_undersampling,balanced_sex_undersampling_oversampling,balanced_sex_undersampling_smote,original
balanced_age_jittering,1.0,1.0,0.9632,1.0,1.0,0.9998,0.0424,1.0,1.0,1.0,0.9632,0.0273,0.3927,0.6507,0.025,0.0502,0.2291,0.127,0.2156,0.3562,0.167
balanced_age_oversampling,1.0,1.0,0.9999,0.9999,1.0,1.0,0.2729,1.0,1.0,1.0,0.9999,0.2026,0.8671,0.9725,0.1902,0.3047,0.7082,0.53,0.6894,0.8405,0.6109
balanced_age_oversampling_tomek,0.9632,0.9999,1.0,0.7621,1.0,1.0,0.9725,0.8541,0.9999,1.0,1.0,0.945,1.0,1.0,0.9377,0.9799,0.9999,0.9982,0.9998,1.0,0.9993
balanced_age_patient_aware_undersampling,1.0,0.9999,0.7621,1.0,0.9971,0.9856,0.0078,1.0,0.9999,0.9971,0.7621,0.0046,0.1362,0.3047,0.0042,0.0096,0.0643,0.0299,0.0593,0.1183,0.0424
balanced_age_smote,1.0,1.0,1.0,0.9971,1.0,1.0,0.53,0.9993,1.0,1.0,1.0,0.4307,0.9765,0.9982,0.4115,0.5705,0.9118,0.7953,0.9017,0.9682,0.8541
balanced_age_smote_tomek,0.9998,1.0,1.0,0.9856,1.0,1.0,0.6894,0.9955,1.0,1.0,1.0,0.5908,0.9944,0.9998,0.5705,0.7267,0.9682,0.9017,0.9632,0.9917,0.9377
balanced_age_tomek_links,0.0424,0.2729,0.9725,0.0078,0.53,0.6894,1.0,0.0142,0.3047,0.53,0.9725,1.0,1.0,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_age_undersampling,1.0,1.0,0.8541,1.0,0.9993,0.9955,0.0142,1.0,1.0,0.9993,0.8541,0.0086,0.2026,0.4115,0.0078,0.0172,0.1022,0.0502,0.0949,0.1783,0.0696
balanced_age_undersampling_oversampling,1.0,1.0,0.9999,0.9999,1.0,1.0,0.3047,1.0,1.0,1.0,0.9999,0.2291,0.8909,0.9799,0.2156,0.3386,0.7446,0.5705,0.7267,0.8671,0.6507
balanced_age_undersampling_smote,1.0,1.0,1.0,0.9971,1.0,1.0,0.53,0.9993,1.0,1.0,1.0,0.4307,0.9765,0.9982,0.4115,0.5705,0.9118,0.7953,0.9017,0.9682,0.8541
balanced_sex_jittering,0.9632,0.9999,1.0,0.7621,1.0,1.0,0.9725,0.8541,0.9999,1.0,1.0,0.945,1.0,1.0,0.9377,0.9799,0.9999,0.9982,0.9998,1.0,0.9993
balanced_sex_oversampling,0.0273,0.2026,0.945,0.0046,0.4307,0.5908,1.0,0.0086,0.2291,0.4307,0.945,1.0,1.0,0.9995,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_oversampling_tomek,0.3927,0.8671,1.0,0.1362,0.9765,0.9944,1.0,0.2026,0.8909,0.9765,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_patient_aware_undersampling,0.6507,0.9725,1.0,0.3047,0.9982,0.9998,0.9999,0.4115,0.9799,0.9982,1.0,0.9995,1.0,1.0,0.9993,0.9999,1.0,1.0,1.0,1.0,1.0
balanced_sex_smote,0.025,0.1902,0.9377,0.0042,0.4115,0.5705,1.0,0.0078,0.2156,0.4115,0.9377,1.0,1.0,0.9993,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_smote_tomek,0.0502,0.3047,0.9799,0.0096,0.5705,0.7267,1.0,0.0172,0.3386,0.5705,0.9799,1.0,1.0,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_tomek_links,0.2291,0.7082,0.9999,0.0643,0.9118,0.9682,1.0,0.1022,0.7446,0.9118,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_undersampling,0.127,0.53,0.9982,0.0299,0.7953,0.9017,1.0,0.0502,0.5705,0.7953,0.9982,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_undersampling_oversampling,0.2156,0.6894,0.9998,0.0593,0.9017,0.9632,1.0,0.0949,0.7267,0.9017,0.9998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_undersampling_smote,0.3562,0.8405,1.0,0.1183,0.9682,0.9917,1.0,0.1783,0.8671,0.9682,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
original,0.167,0.6109,0.9993,0.0424,0.8541,0.9377,1.0,0.0696,0.6507,0.8541,0.9993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
