condition,balanced_age_jittering,balanced_age_oversampling,balanced_age_patient_aware_undersampling,balanced_age_reference_proportional,balanced_age_smote,balanced_age_undersampling,balanced_sex_jittering,balanced_sex_oversampling,balanced_sex_patient_aware_undersampling,balanced_sex_reference_proportional,balanced_sex_smote,balanced_sex_undersampling,original
balanced_age_jittering,1.0,0.6562,0.8569,0.9996,0.5064,0.9773,0.9999,0.9958,0.9773,1.0,0.9996,1.0,1.0
balanced_age_oversampling,0.6562,1.0,0.0064,0.9922,1.0,0.028,0.9863,0.9991,0.028,0.9354,0.9922,0.4765,0.8569
balanced_age_patient_aware_undersampling,0.8569,0.0064,1.0,0.2635,0.0028,1.0,0.311,0.1499,1.0,0.5064,0.2635,0.9464,0.6562
balanced_age_reference_proportional,0.9996,0.9922,0.2635,1.0,0.9714,0.5365,1.0,1.0,0.5365,1.0,1.0,0.9958,1.0
balanced_age_smote,0.5064,1.0,0.0028,0.9714,1.0,0.0138,0.956,0.9942,0.0138,0.8569,0.9714,0.3364,0.7402
balanced_age_undersampling,0.9773,0.028,1.0,0.5365,0.0138,1.0,0.5968,0.3628,1.0,0.791,0.5365,0.9958,0.8931
balanced_sex_jittering,0.9999,0.9863,0.311,1.0,0.956,0.5968,1.0,1.0,0.5968,1.0,1.0,0.9979,1.0
balanced_sex_oversampling,0.9958,0.9991,0.1499,1.0,0.9942,0.3628,1.0,1.0,0.3628,1.0,1.0,0.9773,0.9999
balanced_sex_patient_aware_undersampling,0.9773,0.028,1.0,0.5365,0.0138,1.0,0.5968,0.3628,1.0,0.791,0.5365,0.9958,0.8931
balanced_sex_reference_proportional,1.0,0.9354,0.5064,1.0,0.8569,0.791,1.0,1.0,0.791,1.0,1.0,0.9999,1.0
balanced_sex_smote,0.9996,0.9922,0.2635,1.0,0.9714,0.5365,1.0,1.0,0.5365,1.0,1.0,0.9958,1.0
balanced_sex_undersampling,1.0,0.4765,0.9464,0.9958,0.3364,0.9958,0.9979,0.9773,0.9958,0.9999,0.9958,1.0,1.0
original,1.0,0.8569,0.6562,1.0,0.7402,0.8931,1.0,0.9999,0.8931,1.0,1.0,1.0,1.0
