condition,balanced_age_jittering,balanced_age_oversampling,balanced_age_oversampling_tomek,balanced_age_patient_aware_undersampling,balanced_age_smote,balanced_age_smote_tomek,balanced_age_tomek_links,balanced_age_undersampling,balanced_age_undersampling_oversampling,balanced_age_undersampling_smote,balanced_sex_jittering,balanced_sex_oversampling,balanced_sex_oversampling_tomek,balanced_sex_patient_aware_undersampling,balanced_sex_smote,balanced_sex_smote_tomek,balanced_sex_tomek_links,balanced_sex_undersampling,balanced_sex_undersampling_oversampling,balanced_sex_undersampling_smote,original
balanced_age_jittering,1.0,1.0,1.0,0.2886,1.0,1.0,1.0,0.5098,1.0,1.0,1.0,1.0,1.0,0.8671,1.0,1.0,1.0,0.9999,1.0,1.0,0.9963
balanced_age_oversampling,1.0,1.0,1.0,0.11,1.0,1.0,1.0,0.2431,1.0,1.0,0.9982,1.0,0.9989,0.6109,1.0,1.0,1.0,0.9932,1.0,0.9998,0.9517
balanced_age_oversampling_tomek,1.0,1.0,1.0,0.0096,1.0,1.0,1.0,0.0299,0.9856,0.9996,0.8541,0.9997,0.8794,0.146,0.9999,0.9799,1.0,0.7621,0.9999,0.9377,0.53
balanced_age_patient_aware_undersampling,0.2886,0.11,0.0096,1.0,0.0172,0.2431,0.2729,1.0,0.7267,0.4115,0.9517,0.3927,0.9377,1.0,0.3047,0.7621,0.2431,0.9799,0.3386,0.8794,0.9982
balanced_age_smote,1.0,1.0,1.0,0.0172,1.0,1.0,1.0,0.0502,0.9955,0.9999,0.9211,1.0,0.9377,0.2156,1.0,0.9932,1.0,0.8541,1.0,0.9725,0.6507
balanced_age_smote_tomek,1.0,1.0,1.0,0.2431,1.0,1.0,1.0,0.4501,1.0,1.0,0.9999,1.0,1.0,0.8261,1.0,1.0,1.0,0.9996,1.0,1.0,0.9932
balanced_age_tomek_links,1.0,1.0,1.0,0.2729,1.0,1.0,1.0,0.4897,1.0,1.0,1.0,1.0,1.0,0.8541,1.0,1.0,1.0,0.9998,1.0,1.0,0.9955
balanced_age_undersampling,0.5098,0.2431,0.0299,1.0,0.0502,0.4501,0.4897,1.0,0.9017,0.6507,0.9932,0.6309,0.99,1.0,0.53,0.9211,0.4501,0.9982,0.5705,0.9725,0.9999
balanced_age_undersampling_oversampling,1.0,1.0,0.9856,0.7267,0.9955,1.0,1.0,0.9017,1.0,1.0,1.0,1.0,1.0,0.9955,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_age_undersampling_smote,1.0,1.0,0.9996,0.4115,0.9999,1.0,1.0,0.6507,1.0,1.0,1.0,1.0,1.0,0.9377,1.0,1.0,1.0,1.0,1.0,1.0,0.9993
balanced_sex_jittering,1.0,0.9982,0.8541,0.9517,0.9211,0.9999,1.0,0.9932,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
balanced_sex_oversampling,1.0,1.0,0.9997,0.3927,1.0,1.0,1.0,0.6309,1.0,1.0,1.0,1.0,1.0,0.9298,1.0,1.0,1.0,1.0,1.0,1.0,0.9991
balanced_sex_oversampling_tomek,1.0,0.9989,0.8794,0.9377,0.9377,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_patient_aware_undersampling,0.8671,0.6109,0.146,1.0,0.2156,0.8261,0.8541,1.0,0.9955,0.9377,1.0,0.9298,0.9999,1.0,0.8794,0.9971,0.8261,1.0,0.9017,0.9996,1.0
balanced_sex_smote,1.0,1.0,0.9999,0.3047,1.0,1.0,1.0,0.53,1.0,1.0,1.0,1.0,1.0,0.8794,1.0,1.0,1.0,0.9999,1.0,1.0,0.9971
balanced_sex_smote_tomek,1.0,1.0,0.9799,0.7621,0.9932,1.0,1.0,0.9211,1.0,1.0,1.0,1.0,1.0,0.9971,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_tomek_links,1.0,1.0,1.0,0.2431,1.0,1.0,1.0,0.4501,1.0,1.0,0.9999,1.0,1.0,0.8261,1.0,1.0,1.0,0.9996,1.0,1.0,0.9932
balanced_sex_undersampling,0.9999,0.9932,0.7621,0.9799,0.8541,0.9996,0.9998,0.9982,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,0.9996,1.0,0.9999,1.0,1.0
balanced_sex_undersampling_oversampling,1.0,1.0,0.9999,0.3386,1.0,1.0,1.0,0.5705,1.0,1.0,1.0,1.0,1.0,0.9017,1.0,1.0,1.0,0.9999,1.0,1.0,0.9982
balanced_sex_undersampling_smote,1.0,0.9998,0.9377,0.8794,0.9725,1.0,1.0,0.9725,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0
original,0.9963,0.9517,0.53,0.9982,0.6507,0.9932,0.9955,0.9999,1.0,0.9993,1.0,0.9991,1.0,1.0,0.9971,1.0,0.9932,1.0,0.9982,1.0,1.0
