condition,balanced_age_jittering,balanced_age_oversampling,balanced_age_oversampling_tomek,balanced_age_patient_aware_undersampling,balanced_age_smote,balanced_age_smote_tomek,balanced_age_tomek_links,balanced_age_undersampling,balanced_age_undersampling_oversampling,balanced_age_undersampling_smote,balanced_sex_jittering,balanced_sex_oversampling,balanced_sex_oversampling_tomek,balanced_sex_patient_aware_undersampling,balanced_sex_smote,balanced_sex_smote_tomek,balanced_sex_tomek_links,balanced_sex_undersampling,balanced_sex_undersampling_oversampling,balanced_sex_undersampling_smote,original
balanced_age_jittering,1.0,1.0,1.0,0.167,1.0,1.0,1.0,0.2729,1.0,1.0,0.99,1.0,0.9989,0.779,1.0,1.0,1.0,0.9999,1.0,0.9995,0.9017
balanced_age_oversampling,1.0,1.0,1.0,0.0357,1.0,1.0,1.0,0.0696,1.0,1.0,0.8541,0.9993,0.9517,0.3927,0.9999,0.9955,1.0,0.99,0.9999,0.9682,0.5705
balanced_age_oversampling_tomek,1.0,1.0,1.0,0.0696,1.0,1.0,1.0,0.127,1.0,1.0,0.9377,0.9999,0.9856,0.5503,1.0,0.9993,1.0,0.9982,1.0,0.9917,0.7267
balanced_age_patient_aware_undersampling,0.167,0.0357,0.0696,1.0,0.0078,0.0814,0.4897,1.0,0.4115,0.167,0.9955,0.7267,0.9725,1.0,0.5705,0.8541,0.3742,0.9017,0.5705,0.9578,0.9999
balanced_age_smote,1.0,1.0,1.0,0.0078,1.0,1.0,0.9982,0.0172,0.9993,1.0,0.5705,0.9799,0.7621,0.1562,0.9955,0.9377,0.9996,0.9017,0.9955,0.811,0.2729
balanced_age_smote_tomek,1.0,1.0,1.0,0.0814,1.0,1.0,1.0,0.146,1.0,1.0,0.9517,1.0,0.99,0.5908,1.0,0.9996,1.0,0.9989,1.0,0.9944,0.7621
balanced_age_tomek_links,1.0,1.0,1.0,0.4897,0.9982,1.0,1.0,0.6507,1.0,1.0,0.9999,1.0,1.0,0.9765,1.0,1.0,1.0,1.0,1.0,1.0,0.9955
balanced_age_undersampling,0.2729,0.0696,0.127,1.0,0.0172,0.146,0.6507,1.0,0.5705,0.2729,0.9993,0.8541,0.9932,1.0,0.7267,0.9377,0.53,0.9632,0.7267,0.988,1.0
balanced_age_undersampling_oversampling,1.0,1.0,1.0,0.4115,0.9993,1.0,1.0,0.5705,1.0,1.0,0.9998,1.0,1.0,0.9578,1.0,1.0,1.0,1.0,1.0,1.0,0.99
balanced_age_undersampling_smote,1.0,1.0,1.0,0.167,1.0,1.0,1.0,0.2729,1.0,1.0,0.99,1.0,0.9989,0.779,1.0,1.0,1.0,0.9999,1.0,0.9995,0.9017
balanced_sex_jittering,0.99,0.8541,0.9377,0.9955,0.5705,0.9517,0.9999,0.9993,0.9998,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0
balanced_sex_oversampling,1.0,0.9993,0.9999,0.7267,0.9799,1.0,1.0,0.8541,1.0,1.0,1.0,1.0,1.0,0.9977,1.0,1.0,1.0,1.0,1.0,1.0,0.9998
balanced_sex_oversampling_tomek,0.9989,0.9517,0.9856,0.9725,0.7621,0.99,1.0,0.9932,1.0,0.9989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_patient_aware_undersampling,0.779,0.3927,0.5503,1.0,0.1562,0.5908,0.9765,1.0,0.9578,0.779,1.0,0.9977,1.0,1.0,0.988,0.9997,0.945,0.9999,0.988,1.0,1.0
balanced_sex_smote,1.0,0.9999,1.0,0.5705,0.9955,1.0,1.0,0.7267,1.0,1.0,1.0,1.0,1.0,0.988,1.0,1.0,1.0,1.0,1.0,1.0,0.9982
balanced_sex_smote_tomek,1.0,0.9955,0.9993,0.8541,0.9377,0.9996,1.0,0.9377,1.0,1.0,1.0,1.0,1.0,0.9997,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_tomek_links,1.0,1.0,1.0,0.3742,0.9996,1.0,1.0,0.53,1.0,1.0,0.9996,1.0,1.0,0.945,1.0,1.0,1.0,1.0,1.0,1.0,0.9856
balanced_sex_undersampling,0.9999,0.99,0.9982,0.9017,0.9017,0.9989,1.0,0.9632,1.0,0.9999,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_undersampling_oversampling,1.0,0.9999,1.0,0.5705,0.9955,1.0,1.0,0.7267,1.0,1.0,1.0,1.0,1.0,0.988,1.0,1.0,1.0,1.0,1.0,1.0,0.9982
balanced_sex_undersampling_smote,0.9995,0.9682,0.9917,0.9578,0.811,0.9944,1.0,0.988,1.0,0.9995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
original,0.9017,0.5705,0.7267,0.9999,0.2729,0.7621,0.9955,1.0,0.99,0.9017,1.0,0.9998,1.0,1.0,0.9982,1.0,0.9856,1.0,0.9982,1.0,1.0
