condition,balanced_age_jittering,balanced_age_oversampling,balanced_age_oversampling_tomek,balanced_age_patient_aware_undersampling,balanced_age_smote,balanced_age_smote_tomek,balanced_age_tomek_links,balanced_age_undersampling,balanced_age_undersampling_oversampling,balanced_age_undersampling_smote,balanced_sex_jittering,balanced_sex_oversampling,balanced_sex_oversampling_tomek,balanced_sex_patient_aware_undersampling,balanced_sex_smote,balanced_sex_smote_tomek,balanced_sex_tomek_links,balanced_sex_undersampling,balanced_sex_undersampling_oversampling,balanced_sex_undersampling_smote,original
balanced_age_jittering,1.0,1.0,1.0,0.4897,1.0,1.0,0.146,0.146,1.0,1.0,0.9986,0.9298,0.7621,0.9017,0.945,0.4307,0.5098,0.9298,0.7082,0.9211,0.025
balanced_age_oversampling,1.0,1.0,1.0,0.127,1.0,1.0,0.0207,0.0207,1.0,1.0,0.9118,0.5503,0.3047,0.4897,0.5908,0.1022,0.1362,0.5503,0.2577,0.53,0.0022
balanced_age_oversampling_tomek,1.0,1.0,1.0,0.4115,1.0,1.0,0.11,0.11,1.0,1.0,0.9963,0.8909,0.6894,0.8541,0.9118,0.3562,0.4307,0.8909,0.6309,0.8794,0.0172
balanced_age_patient_aware_undersampling,0.4897,0.127,0.4115,1.0,0.2431,0.5503,1.0,1.0,0.4897,0.53,0.9997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999
balanced_age_smote,1.0,1.0,1.0,0.2431,1.0,1.0,0.0502,0.0502,1.0,1.0,0.9765,0.7446,0.4897,0.6894,0.779,0.2026,0.2577,0.7446,0.4307,0.7267,0.0064
balanced_age_smote_tomek,1.0,1.0,1.0,0.5503,1.0,1.0,0.1783,0.1783,1.0,1.0,0.9993,0.9517,0.811,0.9298,0.9632,0.4897,0.5705,0.9517,0.7621,0.945,0.0327
balanced_age_tomek_links,0.146,0.0207,0.11,1.0,0.0502,0.1783,1.0,1.0,0.146,0.167,0.9682,0.9997,1.0,0.9999,0.9995,1.0,1.0,0.9997,1.0,0.9998,1.0
balanced_age_undersampling,0.146,0.0207,0.11,1.0,0.0502,0.1783,1.0,1.0,0.146,0.167,0.9682,0.9997,1.0,0.9999,0.9995,1.0,1.0,0.9997,1.0,0.9998,1.0
balanced_age_undersampling_oversampling,1.0,1.0,1.0,0.4897,1.0,1.0,0.146,0.146,1.0,1.0,0.9986,0.9298,0.7621,0.9017,0.945,0.4307,0.5098,0.9298,0.7082,0.9211,0.025
balanced_age_undersampling_smote,1.0,1.0,1.0,0.53,1.0,1.0,0.167,0.167,1.0,1.0,0.9991,0.945,0.7953,0.9211,0.9578,0.4698,0.5503,0.945,0.7446,0.9377,0.0299
balanced_sex_jittering,0.9986,0.9118,0.9963,0.9997,0.9765,0.9993,0.9682,0.9682,0.9986,0.9991,1.0,1.0,1.0,1.0,1.0,0.9993,0.9998,1.0,1.0,1.0,0.7082
balanced_sex_oversampling,0.9298,0.5503,0.8909,1.0,0.7446,0.9517,0.9997,0.9997,0.9298,0.945,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9682
balanced_sex_oversampling_tomek,0.7621,0.3047,0.6894,1.0,0.4897,0.811,1.0,1.0,0.7621,0.7953,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9971
balanced_sex_patient_aware_undersampling,0.9017,0.4897,0.8541,1.0,0.6894,0.9298,0.9999,0.9999,0.9017,0.9211,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9799
balanced_sex_smote,0.945,0.5908,0.9118,1.0,0.779,0.9632,0.9995,0.9995,0.945,0.9578,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9578
balanced_sex_smote_tomek,0.4307,0.1022,0.3562,1.0,0.2026,0.4897,1.0,1.0,0.4307,0.4698,0.9993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_tomek_links,0.5098,0.1362,0.4307,1.0,0.2577,0.5705,1.0,1.0,0.5098,0.5503,0.9998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999
balanced_sex_undersampling,0.9298,0.5503,0.8909,1.0,0.7446,0.9517,0.9997,0.9997,0.9298,0.945,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9682
balanced_sex_undersampling_oversampling,0.7082,0.2577,0.6309,1.0,0.4307,0.7621,1.0,1.0,0.7082,0.7446,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9986
balanced_sex_undersampling_smote,0.9211,0.53,0.8794,1.0,0.7267,0.945,0.9998,0.9998,0.9211,0.9377,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9725
original,0.025,0.0022,0.0172,0.9999,0.0064,0.0327,1.0,1.0,0.025,0.0299,0.7082,0.9682,0.9971,0.9799,0.9578,1.0,0.9999,0.9682,0.9986,0.9725,1.0
