condition,balanced_age_jittering,balanced_age_oversampling,balanced_age_oversampling_tomek,balanced_age_patient_aware_undersampling,balanced_age_smote,balanced_age_smote_tomek,balanced_age_tomek_links,balanced_age_undersampling,balanced_age_undersampling_oversampling,balanced_age_undersampling_smote,balanced_sex_jittering,balanced_sex_oversampling,balanced_sex_oversampling_tomek,balanced_sex_patient_aware_undersampling,balanced_sex_smote,balanced_sex_smote_tomek,balanced_sex_tomek_links,balanced_sex_undersampling,balanced_sex_undersampling_oversampling,balanced_sex_undersampling_smote,original
balanced_age_jittering,1.0,1.0,1.0,0.9517,1.0,1.0,0.0357,0.2729,1.0,1.0,0.779,0.5098,0.6507,0.9377,0.5908,0.127,0.1783,0.2291,0.3562,0.4115,0.003
balanced_age_oversampling,1.0,1.0,0.9999,0.7621,1.0,1.0,0.0078,0.0949,1.0,0.9999,0.4698,0.2291,0.3386,0.7267,0.2886,0.0357,0.0546,0.0753,0.1362,0.167,0.0005
balanced_age_oversampling_tomek,1.0,0.9999,1.0,0.9999,1.0,1.0,0.2729,0.7953,1.0,1.0,0.9944,0.945,0.9799,0.9998,0.9682,0.5705,0.6702,0.7446,0.8671,0.9017,0.0462
balanced_age_patient_aware_undersampling,0.9517,0.7621,0.9999,1.0,0.9725,0.9986,0.9725,1.0,0.9377,0.9999,1.0,1.0,1.0,1.0,1.0,0.9989,0.9997,0.9999,1.0,1.0,0.6702
balanced_age_smote,1.0,1.0,1.0,0.9725,1.0,1.0,0.0502,0.3386,1.0,1.0,0.8405,0.5908,0.7267,0.9632,0.6702,0.167,0.2291,0.2886,0.4307,0.4897,0.0046
balanced_age_smote_tomek,1.0,1.0,1.0,0.9986,1.0,1.0,0.1562,0.6309,1.0,1.0,0.9725,0.8541,0.9298,0.9977,0.9017,0.3927,0.4897,0.5705,0.7267,0.779,0.0207
balanced_age_tomek_links,0.0357,0.0078,0.2729,0.9725,0.0502,0.1562,1.0,1.0,0.0299,0.2886,0.9986,1.0,0.9998,0.9799,0.9999,1.0,1.0,1.0,1.0,1.0,1.0
balanced_age_undersampling,0.2729,0.0949,0.7953,1.0,0.3386,0.6309,1.0,1.0,0.2431,0.811,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9991
balanced_age_undersampling_oversampling,1.0,1.0,1.0,0.9377,1.0,1.0,0.0299,0.2431,1.0,1.0,0.7446,0.4698,0.6109,0.9211,0.5503,0.11,0.1562,0.2026,0.3214,0.3742,0.0024
balanced_age_undersampling_smote,1.0,0.9999,1.0,0.9999,1.0,1.0,0.2886,0.811,1.0,1.0,0.9955,0.9517,0.983,0.9999,0.9725,0.5908,0.6894,0.7621,0.8794,0.9118,0.0502
balanced_sex_jittering,0.779,0.4698,0.9944,1.0,0.8405,0.9725,0.9986,1.0,0.7446,0.9955,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9017
balanced_sex_oversampling,0.5098,0.2291,0.945,1.0,0.5908,0.8541,1.0,1.0,0.4698,0.9517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9856
balanced_sex_oversampling_tomek,0.6507,0.3386,0.9799,1.0,0.7267,0.9298,0.9998,1.0,0.6109,0.983,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9578
balanced_sex_patient_aware_undersampling,0.9377,0.7267,0.9998,1.0,0.9632,0.9977,0.9799,1.0,0.9211,0.9999,1.0,1.0,1.0,1.0,1.0,0.9993,0.9999,1.0,1.0,1.0,0.7082
balanced_sex_smote,0.5908,0.2886,0.9682,1.0,0.6702,0.9017,0.9999,1.0,0.5503,0.9725,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9725
balanced_sex_smote_tomek,0.127,0.0357,0.5705,0.9989,0.167,0.3927,1.0,1.0,0.11,0.5908,1.0,1.0,1.0,0.9993,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_tomek_links,0.1783,0.0546,0.6702,0.9997,0.2291,0.4897,1.0,1.0,0.1562,0.6894,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,0.9999
balanced_sex_undersampling,0.2291,0.0753,0.7446,0.9999,0.2886,0.5705,1.0,1.0,0.2026,0.7621,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996
balanced_sex_undersampling_oversampling,0.3562,0.1362,0.8671,1.0,0.4307,0.7267,1.0,1.0,0.3214,0.8794,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9971
balanced_sex_undersampling_smote,0.4115,0.167,0.9017,1.0,0.4897,0.779,1.0,1.0,0.3742,0.9118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9944
original,0.003,0.0005,0.0462,0.6702,0.0046,0.0207,1.0,0.9991,0.0024,0.0502,0.9017,0.9856,0.9578,0.7082,0.9725,1.0,0.9999,0.9996,0.9971,0.9944,1.0
