condition,balanced_age_jittering,balanced_age_oversampling,balanced_age_oversampling_tomek,balanced_age_patient_aware_undersampling,balanced_age_smote,balanced_age_smote_tomek,balanced_age_tomek_links,balanced_age_undersampling,balanced_age_undersampling_oversampling,balanced_age_undersampling_smote,balanced_sex_jittering,balanced_sex_oversampling,balanced_sex_oversampling_tomek,balanced_sex_patient_aware_undersampling,balanced_sex_smote,balanced_sex_smote_tomek,balanced_sex_tomek_links,balanced_sex_undersampling,balanced_sex_undersampling_oversampling,balanced_sex_undersampling_smote,original
balanced_age_jittering,1.0,0.9993,0.9211,1.0,0.9856,0.5503,0.2577,0.9998,0.6109,0.9211,1.0,0.4897,1.0,0.9517,1.0,0.146,0.9999,0.9017,1.0,0.7621,1.0
balanced_age_oversampling,0.9993,1.0,1.0,1.0,1.0,0.9997,0.988,1.0,0.9999,1.0,1.0,0.9993,1.0,1.0,1.0,0.9517,1.0,1.0,1.0,1.0,0.9999
balanced_age_oversampling_tomek,0.9211,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,0.9993,0.9998,1.0,1.0,1.0,1.0,0.9632
balanced_age_patient_aware_undersampling,1.0,1.0,1.0,1.0,1.0,0.9955,0.9377,1.0,0.9977,1.0,1.0,0.9917,1.0,1.0,1.0,0.8405,1.0,1.0,1.0,0.9997,1.0
balanced_age_smote,0.9856,1.0,1.0,1.0,1.0,1.0,0.9995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9955,1.0,1.0,1.0,1.0,0.9955
balanced_age_smote_tomek,0.5503,0.9997,1.0,0.9955,1.0,1.0,1.0,0.9991,1.0,1.0,0.9963,1.0,0.9799,1.0,0.945,1.0,0.9986,1.0,0.9917,1.0,0.6702
balanced_age_tomek_links,0.2577,0.988,1.0,0.9377,0.9995,1.0,1.0,0.9765,1.0,1.0,0.945,1.0,0.8541,1.0,0.7446,1.0,0.9682,1.0,0.9118,1.0,0.3562
balanced_age_undersampling,0.9998,1.0,1.0,1.0,1.0,0.9991,0.9765,1.0,0.9996,1.0,1.0,0.9982,1.0,1.0,1.0,0.9211,1.0,1.0,1.0,1.0,1.0
balanced_age_undersampling_oversampling,0.6109,0.9999,1.0,0.9977,1.0,1.0,1.0,0.9996,1.0,1.0,0.9982,1.0,0.988,1.0,0.9632,1.0,0.9993,1.0,0.9955,1.0,0.7267
balanced_age_undersampling_smote,0.9211,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,0.9993,0.9998,1.0,1.0,1.0,1.0,0.9632
balanced_sex_jittering,1.0,1.0,1.0,1.0,1.0,0.9963,0.945,1.0,0.9982,1.0,1.0,0.9932,1.0,1.0,1.0,0.8541,1.0,1.0,1.0,0.9998,1.0
balanced_sex_oversampling,0.4897,0.9993,1.0,0.9917,1.0,1.0,1.0,0.9982,1.0,1.0,0.9932,1.0,0.9682,1.0,0.9211,1.0,0.9971,1.0,0.9856,1.0,0.6109
balanced_sex_oversampling_tomek,1.0,1.0,0.9999,1.0,1.0,0.9799,0.8541,1.0,0.988,0.9999,1.0,0.9682,1.0,1.0,1.0,0.7082,1.0,0.9999,1.0,0.9977,1.0
balanced_sex_patient_aware_undersampling,0.9517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9993,1.0,1.0,1.0,1.0,0.9799
balanced_sex_smote,1.0,1.0,0.9993,1.0,1.0,0.945,0.7446,1.0,0.9632,0.9993,1.0,0.9211,1.0,0.9998,1.0,0.5705,1.0,0.9989,1.0,0.99,1.0
balanced_sex_smote_tomek,0.146,0.9517,0.9998,0.8405,0.9955,1.0,1.0,0.9211,1.0,0.9998,0.8541,1.0,0.7082,0.9993,0.5705,1.0,0.9017,0.9999,0.7953,1.0,0.2156
balanced_sex_tomek_links,0.9999,1.0,1.0,1.0,1.0,0.9986,0.9682,1.0,0.9993,1.0,1.0,0.9971,1.0,1.0,1.0,0.9017,1.0,1.0,1.0,0.9999,1.0
balanced_sex_undersampling,0.9017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,0.9989,0.9999,1.0,1.0,1.0,1.0,0.9517
balanced_sex_undersampling_oversampling,1.0,1.0,1.0,1.0,1.0,0.9917,0.9118,1.0,0.9955,1.0,1.0,0.9856,1.0,1.0,1.0,0.7953,1.0,1.0,1.0,0.9993,1.0
balanced_sex_undersampling_smote,0.7621,1.0,1.0,0.9997,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,1.0,0.9977,1.0,0.99,1.0,0.9999,1.0,0.9993,1.0,0.8541
original,1.0,0.9999,0.9632,1.0,0.9955,0.6702,0.3562,1.0,0.7267,0.9632,1.0,0.6109,1.0,0.9799,1.0,0.2156,1.0,0.9517,1.0,0.8541,1.0
