condition,balanced_age_jittering,balanced_age_oversampling,balanced_age_patient_aware_undersampling,balanced_age_reference_proportional,balanced_age_smote,balanced_age_undersampling,balanced_sex_jittering,balanced_sex_oversampling,balanced_sex_patient_aware_undersampling,balanced_sex_reference_proportional,balanced_sex_smote,balanced_sex_undersampling,original
balanced_age_jittering,1.0,1.0,0.0871,0.2867,0.9088,0.3901,0.6267,0.7402,0.7402,0.2013,0.8931,0.9354,1.0
balanced_age_oversampling,1.0,1.0,0.4183,0.7662,0.9991,0.8569,0.9643,0.9863,0.9863,0.6562,0.9986,0.9996,0.9999
balanced_age_patient_aware_undersampling,0.0871,0.4183,1.0,1.0,0.9643,1.0,0.9991,0.9958,0.9958,1.0,0.9714,0.9464,0.061
balanced_age_reference_proportional,0.2867,0.7662,1.0,1.0,0.9991,1.0,1.0,1.0,1.0,1.0,0.9994,0.9979,0.2208
balanced_age_smote,0.9088,0.9991,0.9643,0.9991,1.0,0.9999,1.0,1.0,1.0,0.9958,1.0,1.0,0.8569
balanced_age_undersampling,0.3901,0.8569,1.0,1.0,0.9999,1.0,1.0,1.0,1.0,1.0,0.9999,0.9996,0.311
balanced_sex_jittering,0.6267,0.9643,0.9991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5365
balanced_sex_oversampling,0.7402,0.9863,0.9958,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,0.6562
balanced_sex_patient_aware_undersampling,0.7402,0.9863,0.9958,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,0.6562
balanced_sex_reference_proportional,0.2013,0.6562,1.0,1.0,0.9958,1.0,1.0,0.9999,0.9999,1.0,0.997,0.9922,0.1499
balanced_sex_smote,0.8931,0.9986,0.9714,0.9994,1.0,0.9999,1.0,1.0,1.0,0.997,1.0,1.0,0.8364
balanced_sex_undersampling,0.9354,0.9996,0.9464,0.9979,1.0,0.9996,1.0,1.0,1.0,0.9922,1.0,1.0,0.8931
original,1.0,0.9999,0.061,0.2208,0.8569,0.311,0.5365,0.6562,0.6562,0.1499,0.8364,0.8931,1.0
