condition,balanced_age_jittering,balanced_age_oversampling,balanced_age_patient_aware_undersampling,balanced_age_reference_proportional,balanced_age_smote,balanced_age_undersampling,balanced_sex_jittering,balanced_sex_oversampling,balanced_sex_patient_aware_undersampling,balanced_sex_reference_proportional,balanced_sex_smote,balanced_sex_undersampling,original
balanced_age_jittering,1.0,1.0,0.9464,1.0,1.0,0.8758,0.9863,0.9942,1.0,0.9942,0.9999,0.9958,1.0
balanced_age_oversampling,1.0,1.0,0.9228,1.0,0.9999,0.8364,0.9922,0.997,1.0,0.997,0.9998,0.9979,1.0
balanced_age_patient_aware_undersampling,0.9464,0.9228,1.0,0.9088,0.9999,1.0,0.183,0.2416,0.6267,0.2416,0.9999,0.2635,0.9896
balanced_age_reference_proportional,1.0,1.0,0.9088,1.0,0.9998,0.8144,0.9942,0.9979,1.0,0.9979,0.9996,0.9986,1.0
balanced_age_smote,1.0,0.9999,0.9999,0.9998,1.0,0.9986,0.7131,0.791,0.9822,0.791,1.0,0.8144,1.0
balanced_age_undersampling,0.8758,0.8364,1.0,0.8144,0.9986,1.0,0.1091,0.1499,0.4765,0.1499,0.9991,0.1659,0.9643
balanced_sex_jittering,0.9863,0.9922,0.183,0.9942,0.7131,0.1091,1.0,1.0,1.0,1.0,0.685,1.0,0.9354
balanced_sex_oversampling,0.9942,0.997,0.2416,0.9979,0.791,0.1499,1.0,1.0,1.0,1.0,0.7662,1.0,0.9643
balanced_sex_patient_aware_undersampling,1.0,1.0,0.6267,1.0,0.9822,0.4765,1.0,1.0,1.0,1.0,0.9773,1.0,0.9996
balanced_sex_reference_proportional,0.9942,0.997,0.2416,0.9979,0.791,0.1499,1.0,1.0,1.0,1.0,0.7662,1.0,0.9643
balanced_sex_smote,0.9999,0.9998,0.9999,0.9996,1.0,0.9991,0.685,0.7662,0.9773,0.7662,1.0,0.791,1.0
balanced_sex_undersampling,0.9958,0.9979,0.2635,0.9986,0.8144,0.1659,1.0,1.0,1.0,1.0,0.791,1.0,0.9714
original,1.0,1.0,0.9896,1.0,1.0,0.9643,0.9354,0.9643,0.9996,0.9643,1.0,0.9714,1.0
