condition,balanced_age_jittering,balanced_age_oversampling,balanced_age_patient_aware_undersampling,balanced_age_smote,balanced_age_smote_tomek,balanced_age_tomek_links,balanced_age_undersampling,balanced_age_undersampling_oversampling,balanced_age_undersampling_smote,balanced_sex_jittering,balanced_sex_oversampling,balanced_sex_patient_aware_undersampling,balanced_sex_smote,balanced_sex_smote_tomek,balanced_sex_tomek_links,balanced_sex_undersampling,balanced_sex_undersampling_oversampling,balanced_sex_undersampling_smote,original
balanced_age_jittering,1.0,1.0,0.3859,1.0,1.0,0.7274,0.9923,1.0,0.9996,1.0,1.0,0.9994,0.9798,1.0,0.9319,1.0,0.9999,1.0,0.8343
balanced_age_oversampling,1.0,1.0,0.3277,1.0,1.0,0.6658,0.986,1.0,0.9989,1.0,1.0,0.9986,0.9668,1.0,0.9017,1.0,0.9997,1.0,0.784
balanced_age_patient_aware_undersampling,0.3859,0.3277,1.0,0.9227,0.3859,1.0,0.9996,0.7657,0.9923,0.6229,0.7469,0.9938,0.9999,0.1983,1.0,0.1724,0.9832,0.8015,1.0
balanced_age_smote,1.0,1.0,0.9227,1.0,1.0,0.9951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9999,0.9997,1.0,1.0,0.9989
balanced_age_smote_tomek,1.0,1.0,0.3859,1.0,1.0,0.7274,0.9923,1.0,0.9996,1.0,1.0,0.9994,0.9798,1.0,0.9319,1.0,0.9999,1.0,0.8343
balanced_age_tomek_links,0.7274,0.6658,1.0,0.9951,0.7274,1.0,1.0,0.9612,0.9999,0.9017,0.955,0.9999,1.0,0.4912,1.0,0.4482,0.9997,0.9717,1.0
balanced_age_undersampling,0.9923,0.986,0.9996,1.0,0.9923,1.0,1.0,1.0,1.0,0.9996,0.9999,1.0,1.0,0.9481,1.0,0.9319,1.0,1.0,1.0
balanced_age_undersampling_oversampling,1.0,1.0,0.7657,1.0,1.0,0.9612,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,1.0,0.9976,1.0,1.0,1.0,0.986
balanced_age_undersampling_smote,0.9996,0.9989,0.9923,1.0,0.9996,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9923,1.0,0.9885,1.0,1.0,1.0
balanced_sex_jittering,1.0,1.0,0.6229,1.0,1.0,0.9017,0.9996,1.0,1.0,1.0,1.0,1.0,0.9981,1.0,0.9885,1.0,1.0,1.0,0.955
balanced_sex_oversampling,1.0,1.0,0.7469,1.0,1.0,0.955,0.9999,1.0,1.0,1.0,1.0,1.0,0.9997,1.0,0.9969,1.0,1.0,1.0,0.9832
balanced_sex_patient_aware_undersampling,0.9994,0.9986,0.9938,1.0,0.9994,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9906,1.0,0.986,1.0,1.0,1.0
balanced_sex_smote,0.9798,0.9668,0.9999,1.0,0.9798,1.0,1.0,0.9998,1.0,0.9981,0.9997,1.0,1.0,0.9017,1.0,0.8773,1.0,0.9999,1.0
balanced_sex_smote_tomek,1.0,1.0,0.1983,0.9998,1.0,0.4912,0.9481,1.0,0.9923,1.0,1.0,0.9906,0.9017,1.0,0.784,1.0,0.9969,1.0,0.6229
balanced_sex_tomek_links,0.9319,0.9017,1.0,0.9999,0.9319,1.0,1.0,0.9976,1.0,0.9885,0.9969,1.0,1.0,0.784,1.0,0.7469,1.0,0.9986,1.0
balanced_sex_undersampling,1.0,1.0,0.1724,0.9997,1.0,0.4482,0.9319,1.0,0.9885,1.0,1.0,0.986,0.8773,1.0,0.7469,1.0,0.9951,1.0,0.5792
balanced_sex_undersampling_oversampling,0.9999,0.9997,0.9832,1.0,0.9999,0.9997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9969,1.0,0.9951,1.0,1.0,1.0
balanced_sex_undersampling_smote,1.0,1.0,0.8015,1.0,1.0,0.9717,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,0.9986,1.0,1.0,1.0,0.9906
original,0.8343,0.784,1.0,0.9989,0.8343,1.0,1.0,0.986,1.0,0.955,0.9832,1.0,1.0,0.6229,1.0,0.5792,1.0,0.9906,1.0
