condition,balanced_age_jittering,balanced_age_oversampling,balanced_age_oversampling_tomek,balanced_age_patient_aware_undersampling,balanced_age_smote,balanced_age_smote_tomek,balanced_age_tomek_links,balanced_age_undersampling,balanced_age_undersampling_oversampling,balanced_age_undersampling_smote,balanced_sex_jittering,balanced_sex_oversampling,balanced_sex_oversampling_tomek,balanced_sex_patient_aware_undersampling,balanced_sex_smote,balanced_sex_smote_tomek,balanced_sex_tomek_links,balanced_sex_undersampling,balanced_sex_undersampling_oversampling,balanced_sex_undersampling_smote,original
balanced_age_jittering,1.0,1.0,0.9682,0.1562,0.9999,1.0,0.7621,0.9682,1.0,0.9578,1.0,1.0,0.983,0.99,0.9298,1.0,0.811,1.0,0.9963,1.0,0.6309
balanced_age_oversampling,1.0,1.0,0.9944,0.2886,1.0,1.0,0.9017,0.9944,1.0,0.9917,1.0,1.0,0.9977,0.9989,0.983,1.0,0.9298,1.0,0.9997,1.0,0.811
balanced_age_oversampling_tomek,0.9682,0.9944,1.0,0.9989,1.0,0.9999,1.0,1.0,1.0,1.0,0.9932,1.0,1.0,1.0,1.0,0.988,1.0,0.9725,1.0,1.0,1.0
balanced_age_patient_aware_undersampling,0.1562,0.2886,0.9989,1.0,0.8909,0.5705,1.0,0.9989,0.7267,0.9993,0.2729,0.6507,0.9971,0.9944,0.9998,0.2291,1.0,0.167,0.9856,0.7267,1.0
balanced_age_smote,0.9999,1.0,1.0,0.8909,1.0,1.0,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9991
balanced_age_smote_tomek,1.0,1.0,0.9999,0.5705,1.0,1.0,0.988,0.9999,1.0,0.9998,1.0,1.0,1.0,1.0,0.9993,1.0,0.9932,1.0,1.0,1.0,0.9632
balanced_age_tomek_links,0.7621,0.9017,1.0,1.0,0.9999,0.988,1.0,1.0,0.9977,1.0,0.8909,0.9944,1.0,1.0,1.0,0.8541,1.0,0.779,1.0,0.9977,1.0
balanced_age_undersampling,0.9682,0.9944,1.0,0.9989,1.0,0.9999,1.0,1.0,1.0,1.0,0.9932,1.0,1.0,1.0,1.0,0.988,1.0,0.9725,1.0,1.0,1.0
balanced_age_undersampling_oversampling,1.0,1.0,1.0,0.7267,1.0,1.0,0.9977,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,0.9989,1.0,1.0,1.0,0.99
balanced_age_undersampling_smote,0.9578,0.9917,1.0,0.9993,1.0,0.9998,1.0,1.0,1.0,1.0,0.99,0.9999,1.0,1.0,1.0,0.983,1.0,0.9632,1.0,1.0,1.0
balanced_sex_jittering,1.0,1.0,0.9932,0.2729,1.0,1.0,0.8909,0.9932,1.0,0.99,1.0,1.0,0.9971,0.9986,0.9799,1.0,0.9211,1.0,0.9996,1.0,0.7953
balanced_sex_oversampling,1.0,1.0,1.0,0.6507,1.0,1.0,0.9944,1.0,1.0,0.9999,1.0,1.0,1.0,1.0,0.9998,1.0,0.9971,1.0,1.0,1.0,0.9799
balanced_sex_oversampling_tomek,0.983,0.9977,1.0,0.9971,1.0,1.0,1.0,1.0,1.0,1.0,0.9971,1.0,1.0,1.0,1.0,0.9944,1.0,0.9856,1.0,1.0,1.0
balanced_sex_patient_aware_undersampling,0.99,0.9989,1.0,0.9944,1.0,1.0,1.0,1.0,1.0,1.0,0.9986,1.0,1.0,1.0,1.0,0.9971,1.0,0.9917,1.0,1.0,1.0
balanced_sex_smote,0.9298,0.983,1.0,0.9998,1.0,0.9993,1.0,1.0,0.9999,1.0,0.9799,0.9998,1.0,1.0,1.0,0.9682,1.0,0.9377,1.0,0.9999,1.0
balanced_sex_smote_tomek,1.0,1.0,0.988,0.2291,1.0,1.0,0.8541,0.988,1.0,0.983,1.0,1.0,0.9944,0.9971,0.9682,1.0,0.8909,1.0,0.9991,1.0,0.7446
balanced_sex_tomek_links,0.811,0.9298,1.0,1.0,1.0,0.9932,1.0,1.0,0.9989,1.0,0.9211,0.9971,1.0,1.0,1.0,0.8909,1.0,0.8261,1.0,0.9989,1.0
balanced_sex_undersampling,1.0,1.0,0.9725,0.167,1.0,1.0,0.779,0.9725,1.0,0.9632,1.0,1.0,0.9856,0.9917,0.9377,1.0,0.8261,1.0,0.9971,1.0,0.6507
balanced_sex_undersampling_oversampling,0.9963,0.9997,1.0,0.9856,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,0.9991,1.0,0.9971,1.0,1.0,1.0
balanced_sex_undersampling_smote,1.0,1.0,1.0,0.7267,1.0,1.0,0.9977,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,0.9989,1.0,1.0,1.0,0.99
original,0.6309,0.811,1.0,1.0,0.9991,0.9632,1.0,1.0,0.99,1.0,0.7953,0.9799,1.0,1.0,1.0,0.7446,1.0,0.6507,1.0,0.99,1.0
