condition,balanced_age_jittering,balanced_age_oversampling,balanced_age_patient_aware_undersampling,balanced_age_reference_proportional,balanced_age_smote,balanced_age_undersampling,balanced_sex_jittering,balanced_sex_oversampling,balanced_sex_patient_aware_undersampling,balanced_sex_reference_proportional,balanced_sex_smote,balanced_sex_undersampling,original
balanced_age_jittering,1.0,1.0,0.9228,0.9999,0.9643,0.7662,0.9942,1.0,1.0,1.0,0.9863,1.0,0.9999
balanced_age_oversampling,1.0,1.0,0.4765,1.0,0.5968,0.2635,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_age_patient_aware_undersampling,0.9228,0.4765,1.0,0.4471,1.0,1.0,0.2013,0.5968,0.7662,0.5667,0.1499,0.7402,0.4471
balanced_age_reference_proportional,0.9999,1.0,0.4471,1.0,0.5667,0.2416,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_age_smote,0.9643,0.5968,1.0,0.5667,1.0,1.0,0.2867,0.7131,0.8569,0.685,0.2208,0.8364,0.5667
balanced_age_undersampling,0.7662,0.2635,1.0,0.2416,1.0,1.0,0.0871,0.3628,0.5365,0.3364,0.061,0.5064,0.2416
balanced_sex_jittering,0.9942,1.0,0.2013,1.0,0.2867,0.0871,1.0,1.0,0.9998,1.0,1.0,0.9999,1.0
balanced_sex_oversampling,1.0,1.0,0.5968,1.0,0.7131,0.3628,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_patient_aware_undersampling,1.0,1.0,0.7662,1.0,0.8569,0.5365,0.9998,1.0,1.0,1.0,0.9991,1.0,1.0
balanced_sex_reference_proportional,1.0,1.0,0.5667,1.0,0.685,0.3364,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_smote,0.9863,1.0,0.1499,1.0,0.2208,0.061,1.0,1.0,0.9991,1.0,1.0,0.9994,1.0
balanced_sex_undersampling,1.0,1.0,0.7402,1.0,0.8364,0.5064,0.9999,1.0,1.0,1.0,0.9994,1.0,1.0
original,0.9999,1.0,0.4471,1.0,0.5667,0.2416,1.0,1.0,1.0,1.0,1.0,1.0,1.0
