condition,balanced_age_jittering,balanced_age_oversampling,balanced_age_patient_aware_undersampling,balanced_age_reference_proportional,balanced_age_smote,balanced_age_undersampling,balanced_sex_jittering,balanced_sex_oversampling,balanced_sex_patient_aware_undersampling,balanced_sex_reference_proportional,balanced_sex_smote,balanced_sex_undersampling,original
balanced_age_jittering,1.0,1.0,0.9228,1.0,0.9822,0.7662,0.9999,1.0,1.0,0.9991,0.9999,1.0,1.0
balanced_age_oversampling,1.0,1.0,0.5064,1.0,0.7131,0.2867,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_age_patient_aware_undersampling,0.9228,0.5064,1.0,0.6267,1.0,1.0,0.4471,0.5667,0.9228,0.311,0.4183,0.5064,0.7402
balanced_age_reference_proportional,1.0,1.0,0.6267,1.0,0.8144,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_age_smote,0.9822,0.7131,1.0,0.8144,1.0,1.0,0.6562,0.7662,0.9822,0.5064,0.6267,0.7131,0.8931
balanced_age_undersampling,0.7662,0.2867,1.0,0.3901,1.0,1.0,0.2416,0.3364,0.7662,0.1499,0.2208,0.2867,0.5064
balanced_sex_jittering,0.9999,1.0,0.4471,1.0,0.6562,0.2416,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
balanced_sex_oversampling,1.0,1.0,0.5667,1.0,0.7662,0.3364,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_patient_aware_undersampling,1.0,1.0,0.9228,1.0,0.9822,0.7662,0.9999,1.0,1.0,0.9991,0.9999,1.0,1.0
balanced_sex_reference_proportional,0.9991,1.0,0.311,1.0,0.5064,0.1499,1.0,1.0,0.9991,1.0,1.0,1.0,1.0
balanced_sex_smote,0.9999,1.0,0.4183,1.0,0.6267,0.2208,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
balanced_sex_undersampling,1.0,1.0,0.5064,1.0,0.7131,0.2867,1.0,1.0,1.0,1.0,1.0,1.0,1.0
original,1.0,1.0,0.7402,1.0,0.8931,0.5064,1.0,1.0,1.0,1.0,1.0,1.0,1.0
