condition,balanced_age_jittering,balanced_age_patient_aware_undersampling,balanced_age_smote,balanced_age_smote_tomek,balanced_age_tomek_links,balanced_sex_jittering,balanced_sex_patient_aware_undersampling,balanced_sex_smote,balanced_sex_smote_tomek,balanced_sex_tomek_links
balanced_age_jittering,1.0,0.9998,0.998,1.0,0.0141,0.5728,0.8119,0.0547,0.0638,0.0741
balanced_age_patient_aware_undersampling,0.9998,1.0,0.9069,0.9795,0.0012,0.1887,0.3902,0.0066,0.008,0.0097
balanced_age_smote,0.998,0.9069,1.0,1.0,0.1672,0.9724,0.998,0.3902,0.4252,0.4613
balanced_age_smote_tomek,1.0,0.9795,1.0,1.0,0.0741,0.8868,0.9795,0.2121,0.2374,0.2646
balanced_age_tomek_links,0.0141,0.0012,0.1672,0.0741,1.0,0.8868,0.6828,1.0,1.0,1.0
balanced_sex_jittering,0.5728,0.1887,0.9724,0.8868,0.8868,1.0,1.0,0.9852,0.9895,0.9928
balanced_sex_patient_aware_undersampling,0.8119,0.3902,0.998,0.9795,0.6828,1.0,1.0,0.9069,0.9245,0.9398
balanced_sex_smote,0.0547,0.0066,0.3902,0.2121,1.0,0.9852,0.9069,1.0,1.0,1.0
balanced_sex_smote_tomek,0.0638,0.008,0.4252,0.2374,1.0,0.9895,0.9245,1.0,1.0,1.0
balanced_sex_tomek_links,0.0741,0.0097,0.4613,0.2646,1.0,0.9928,0.9398,1.0,1.0,1.0
