condition,balanced_age_jittering,balanced_age_patient_aware_undersampling,balanced_age_smote,balanced_age_smote_tomek,balanced_age_tomek_links,balanced_sex_jittering,balanced_sex_patient_aware_undersampling,balanced_sex_smote,balanced_sex_smote_tomek,balanced_sex_tomek_links
balanced_age_jittering,1.0,0.9998,1.0,1.0,0.0141,0.4613,0.7509,0.4613,0.2121,0.0988
balanced_age_patient_aware_undersampling,0.9998,1.0,0.9952,0.9895,0.0988,0.8643,0.9795,0.8643,0.6101,0.3902
balanced_age_smote,1.0,0.9952,1.0,1.0,0.0044,0.2646,0.5353,0.2646,0.0988,0.0398
balanced_age_smote_tomek,1.0,0.9895,1.0,1.0,0.0029,0.2121,0.4613,0.2121,0.0741,0.0286
balanced_age_tomek_links,0.0141,0.0988,0.0044,0.0029,1.0,0.9398,0.7509,0.9398,0.9952,0.9998
balanced_sex_jittering,0.4613,0.8643,0.2646,0.2121,0.9398,1.0,1.0,1.0,1.0,0.9993
balanced_sex_patient_aware_undersampling,0.7509,0.9795,0.5353,0.4613,0.7509,1.0,1.0,1.0,0.998,0.9795
balanced_sex_smote,0.4613,0.8643,0.2646,0.2121,0.9398,1.0,1.0,1.0,1.0,0.9993
balanced_sex_smote_tomek,0.2121,0.6101,0.0988,0.0741,0.9952,1.0,0.998,1.0,1.0,1.0
balanced_sex_tomek_links,0.0988,0.3902,0.0398,0.0286,0.9998,0.9993,0.9795,0.9993,1.0,1.0
