condition,balanced_age_jittering,balanced_age_patient_aware_undersampling,balanced_age_smote,balanced_age_smote_tomek,balanced_age_tomek_links,balanced_sex_jittering,balanced_sex_patient_aware_undersampling,balanced_sex_smote,balanced_sex_smote_tomek,balanced_sex_tomek_links
balanced_age_jittering,1.0,0.0741,0.9895,1.0,0.9998,0.8119,0.3902,1.0,0.9952,1.0
balanced_age_patient_aware_undersampling,0.0741,1.0,0.0019,0.0202,0.3242,0.9398,0.9993,0.2121,0.5353,0.1672
balanced_age_smote,0.9895,0.0019,1.0,0.9998,0.8119,0.1672,0.0286,0.9069,0.6101,0.9398
balanced_age_smote_tomek,1.0,0.0202,0.9998,1.0,0.9895,0.5353,0.1672,0.998,0.9398,0.9993
balanced_age_tomek_links,0.9998,0.3242,0.8119,0.9895,1.0,0.9895,0.8119,1.0,1.0,1.0
balanced_sex_jittering,0.8119,0.9398,0.1672,0.5353,0.9895,1.0,0.9998,0.9635,0.9993,0.9398
balanced_sex_patient_aware_undersampling,0.3902,0.9993,0.0286,0.1672,0.8119,0.9998,1.0,0.6828,0.9398,0.6101
balanced_sex_smote,1.0,0.2121,0.9069,0.998,1.0,0.9635,0.6828,1.0,1.0,1.0
balanced_sex_smote_tomek,0.9952,0.5353,0.6101,0.9398,1.0,0.9993,0.9398,1.0,1.0,0.9998
balanced_sex_tomek_links,1.0,0.1672,0.9398,0.9993,1.0,0.9398,0.6101,1.0,0.9998,1.0
