condition,balanced_age_jittering,balanced_age_patient_aware_undersampling,balanced_age_smote,balanced_age_smote_tomek,balanced_age_tomek_links,balanced_sex_jittering,balanced_sex_patient_aware_undersampling,balanced_sex_smote,balanced_sex_smote_tomek,balanced_sex_tomek_links
balanced_age_jittering,1.0,0.1672,1.0,1.0,0.0547,0.9398,0.4981,0.6828,0.1475,0.2646
balanced_age_patient_aware_undersampling,0.1672,1.0,0.0547,0.2121,1.0,0.9398,0.9999,0.998,1.0,1.0
balanced_age_smote,1.0,0.0547,1.0,1.0,0.0141,0.7509,0.2374,0.3902,0.0468,0.0988
balanced_age_smote_tomek,1.0,0.2121,1.0,1.0,0.0741,0.9635,0.5728,0.7509,0.1887,0.3242
balanced_age_tomek_links,0.0547,1.0,0.0141,0.0741,1.0,0.7509,0.9928,0.9635,1.0,0.9998
balanced_sex_jittering,0.9398,0.9398,0.7509,0.9635,0.7509,1.0,0.9988,1.0,0.9245,0.9795
balanced_sex_patient_aware_undersampling,0.4981,0.9999,0.2374,0.5728,0.9928,0.9988,1.0,1.0,0.9998,1.0
balanced_sex_smote,0.6828,0.998,0.3902,0.7509,0.9635,1.0,1.0,1.0,0.9969,0.9998
balanced_sex_smote_tomek,0.1475,1.0,0.0468,0.1887,1.0,0.9245,0.9998,0.9969,1.0,1.0
balanced_sex_tomek_links,0.2646,1.0,0.0988,0.3242,0.9998,0.9795,1.0,0.9998,1.0,1.0
