condition,balanced_age_jittering,balanced_age_patient_aware_undersampling,balanced_age_smote,balanced_age_smote_tomek,balanced_age_tomek_links,balanced_sex_jittering,balanced_sex_patient_aware_undersampling,balanced_sex_smote,balanced_sex_smote_tomek,balanced_sex_tomek_links
balanced_age_jittering,1.0,0.6828,1.0,1.0,0.0117,0.2646,0.6101,0.2646,0.0202,0.1134
balanced_age_patient_aware_undersampling,0.6828,1.0,0.7509,0.9069,0.7824,0.9998,1.0,0.9998,0.8643,0.9928
balanced_age_smote,1.0,0.7509,1.0,1.0,0.0169,0.3242,0.6828,0.3242,0.0286,0.1475
balanced_age_smote_tomek,1.0,0.9069,1.0,1.0,0.0468,0.5353,0.8643,0.5353,0.0741,0.2935
balanced_age_tomek_links,0.0117,0.7824,0.0169,0.0468,1.0,0.9852,0.8393,0.9852,1.0,0.9993
balanced_sex_jittering,0.2646,0.9998,0.3242,0.5353,0.9852,1.0,1.0,1.0,0.9952,1.0
balanced_sex_patient_aware_undersampling,0.6101,1.0,0.6828,0.8643,0.8393,1.0,1.0,1.0,0.9069,0.9969
balanced_sex_smote,0.2646,0.9998,0.3242,0.5353,0.9852,1.0,1.0,1.0,0.9952,1.0
balanced_sex_smote_tomek,0.0202,0.8643,0.0286,0.0741,1.0,0.9952,0.9069,0.9952,1.0,0.9999
balanced_sex_tomek_links,0.1134,0.9928,0.1475,0.2935,0.9993,1.0,0.9969,1.0,0.9999,1.0
