condition,balanced_age_jittering,balanced_age_patient_aware_undersampling,balanced_age_smote,balanced_age_smote_tomek,balanced_age_tomek_links,balanced_sex_jittering,balanced_sex_patient_aware_undersampling,balanced_sex_smote,balanced_sex_smote_tomek,balanced_sex_tomek_links
balanced_age_jittering,1.0,0.8868,0.7824,0.1134,0.0638,0.9795,0.5728,0.9999,0.0169,0.9527
balanced_age_patient_aware_undersampling,0.8868,1.0,1.0,0.9398,0.8643,1.0,1.0,0.9952,0.6101,1.0
balanced_age_smote,0.7824,1.0,1.0,0.9795,0.9398,0.9999,1.0,0.9795,0.7509,1.0
balanced_age_smote_tomek,0.1134,0.9398,0.9795,1.0,1.0,0.7824,0.998,0.3902,0.9998,0.8643
balanced_age_tomek_links,0.0638,0.8643,0.9398,1.0,1.0,0.6468,0.9895,0.2646,1.0,0.7509
balanced_sex_jittering,0.9795,1.0,0.9999,0.7824,0.6468,1.0,0.9969,0.9999,0.3565,1.0
balanced_sex_patient_aware_undersampling,0.5728,1.0,1.0,0.998,0.9895,0.9969,1.0,0.9069,0.9069,0.9993
balanced_sex_smote,0.9999,0.9952,0.9795,0.3902,0.2646,0.9999,0.9069,1.0,0.0988,0.9993
balanced_sex_smote_tomek,0.0169,0.6101,0.7509,0.9998,1.0,0.3565,0.9069,0.0988,1.0,0.4613
balanced_sex_tomek_links,0.9527,1.0,1.0,0.8643,0.7509,1.0,0.9993,0.9993,0.4613,1.0
