condition,balanced_age_jittering,balanced_age_patient_aware_undersampling,balanced_age_smote,balanced_age_smote_tomek,balanced_age_tomek_links,balanced_sex_jittering,balanced_sex_patient_aware_undersampling,balanced_sex_smote,balanced_sex_smote_tomek,balanced_sex_tomek_links
balanced_age_jittering,1.0,0.0857,0.9928,1.0,0.4252,0.9993,0.9635,0.5728,1.0,0.5728
balanced_age_patient_aware_undersampling,0.0857,1.0,0.6101,0.2374,0.9993,0.4252,0.7824,0.9952,0.0547,0.9952
balanced_age_smote,0.9928,0.6101,1.0,0.9999,0.9635,1.0,1.0,0.9895,0.9795,0.9895
balanced_age_smote_tomek,1.0,0.2374,0.9999,1.0,0.7176,1.0,0.998,0.8393,0.9999,0.8393
balanced_age_tomek_links,0.4252,0.9993,0.9635,0.7176,1.0,0.8868,0.9928,1.0,0.3242,1.0
balanced_sex_jittering,0.9993,0.4252,1.0,1.0,0.8868,1.0,1.0,0.9527,0.9969,0.9527
balanced_sex_patient_aware_undersampling,0.9635,0.7824,1.0,0.998,0.9928,1.0,1.0,0.9988,0.9245,0.9988
balanced_sex_smote,0.5728,0.9952,0.9895,0.8393,1.0,0.9527,0.9988,1.0,0.4613,1.0
balanced_sex_smote_tomek,1.0,0.0547,0.9795,0.9999,0.3242,0.9969,0.9245,0.4613,1.0,0.4613
balanced_sex_tomek_links,0.5728,0.9952,0.9895,0.8393,1.0,0.9527,0.9988,1.0,0.4613,1.0
