dataset,condition,dimension,technique,range,metric,mean,std,rank
DIATREND,balanced_sex_oversampling,sex,oversampling,TBR_2,A,0.18,0.4,1
DIATREND,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,TBR_2,A,0.15,0.34,2
DIATREND,balanced_age_tomek_links,age,tomek_links,TBR_2,A,0.08,0.17,3
DIATREND,balanced_age_oversampling,age,oversampling,TBR_2,A,0.0,0.0,4
DIATREND,balanced_age_jittering,age,jittering,TBR_2,A,0.0,0.0,5
DIATREND,balanced_age_smote,age,smote,TBR_2,A,0.0,0.0,6
DIATREND,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,TBR_2,A,0.0,0.0,7
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,TBR_2,A,0.0,0.0,8
DIATREND,balanced_age_undersampling,age,undersampling,TBR_2,A,0.0,0.0,9
DIATREND,balanced_age_undersampling_oversampling,age,undersampling_oversampling,TBR_2,A,0.0,0.0,10
DIATREND,balanced_age_undersampling_smote,age,undersampling_smote,TBR_2,A,0.0,0.0,11
DIATREND,balanced_sex_jittering,sex,jittering,TBR_2,A,0.0,0.0,12
DIATREND,balanced_age_smote_tomek,age,smote_tomek,TBR_2,A,0.0,0.0,13
DIATREND,balanced_sex_oversampling_tomek,sex,oversampling_tomek,TBR_2,A,0.0,0.0,14
DIATREND,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,TBR_2,A,0.0,0.0,15
DIATREND,balanced_sex_smote_tomek,sex,smote_tomek,TBR_2,A,0.0,0.0,16
DIATREND,balanced_sex_smote,sex,smote,TBR_2,A,0.0,0.0,17
DIATREND,balanced_sex_tomek_links,sex,tomek_links,TBR_2,A,0.0,0.0,18
DIATREND,balanced_sex_undersampling,sex,undersampling,TBR_2,A,0.0,0.0,19
DIATREND,balanced_sex_undersampling_smote,sex,undersampling_smote,TBR_2,A,0.0,0.0,20
DIATREND,original,,original,TBR_2,A,0.0,0.0,21
DIATREND,balanced_age_jittering,age,jittering,TBR_2,B,0.0,0.0,1
DIATREND,balanced_age_oversampling,age,oversampling,TBR_2,B,0.0,0.0,2
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,TBR_2,B,0.0,0.0,3
DIATREND,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,TBR_2,B,0.0,0.0,4
DIATREND,balanced_age_smote,age,smote,TBR_2,B,0.0,0.0,5
DIATREND,balanced_age_smote_tomek,age,smote_tomek,TBR_2,B,0.0,0.0,6
DIATREND,balanced_age_tomek_links,age,tomek_links,TBR_2,B,0.0,0.0,7
DIATREND,balanced_age_undersampling,age,undersampling,TBR_2,B,0.0,0.0,8
DIATREND,balanced_age_undersampling_oversampling,age,undersampling_oversampling,TBR_2,B,0.0,0.0,9
DIATREND,balanced_age_undersampling_smote,age,undersampling_smote,TBR_2,B,0.0,0.0,10
DIATREND,balanced_sex_jittering,sex,jittering,TBR_2,B,0.0,0.0,11
DIATREND,balanced_sex_oversampling,sex,oversampling,TBR_2,B,0.0,0.0,12
DIATREND,balanced_sex_oversampling_tomek,sex,oversampling_tomek,TBR_2,B,0.0,0.0,13
DIATREND,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,TBR_2,B,0.0,0.0,14
DIATREND,balanced_sex_smote,sex,smote,TBR_2,B,0.0,0.0,15
DIATREND,balanced_sex_smote_tomek,sex,smote_tomek,TBR_2,B,0.0,0.0,16
DIATREND,balanced_sex_tomek_links,sex,tomek_links,TBR_2,B,0.0,0.0,17
DIATREND,balanced_sex_undersampling,sex,undersampling,TBR_2,B,0.0,0.0,18
DIATREND,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,TBR_2,B,0.0,0.0,19
DIATREND,balanced_sex_undersampling_smote,sex,undersampling_smote,TBR_2,B,0.0,0.0,20
DIATREND,original,,original,TBR_2,B,0.0,0.0,21
DIATREND,balanced_age_jittering,age,jittering,TBR_2,C,0.0,0.0,1
DIATREND,balanced_age_oversampling,age,oversampling,TBR_2,C,0.0,0.0,2
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,TBR_2,C,0.0,0.0,3
DIATREND,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,TBR_2,C,0.0,0.0,4
DIATREND,balanced_age_smote,age,smote,TBR_2,C,0.0,0.0,5
DIATREND,balanced_age_smote_tomek,age,smote_tomek,TBR_2,C,0.0,0.0,6
DIATREND,balanced_age_tomek_links,age,tomek_links,TBR_2,C,0.0,0.0,7
DIATREND,balanced_age_undersampling,age,undersampling,TBR_2,C,0.0,0.0,8
DIATREND,balanced_age_undersampling_oversampling,age,undersampling_oversampling,TBR_2,C,0.0,0.0,9
DIATREND,balanced_age_undersampling_smote,age,undersampling_smote,TBR_2,C,0.0,0.0,10
DIATREND,balanced_sex_jittering,sex,jittering,TBR_2,C,0.0,0.0,11
DIATREND,balanced_sex_oversampling,sex,oversampling,TBR_2,C,0.0,0.0,12
DIATREND,balanced_sex_oversampling_tomek,sex,oversampling_tomek,TBR_2,C,0.0,0.0,13
DIATREND,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,TBR_2,C,0.0,0.0,14
DIATREND,balanced_sex_smote,sex,smote,TBR_2,C,0.0,0.0,15
DIATREND,balanced_sex_smote_tomek,sex,smote_tomek,TBR_2,C,0.0,0.0,16
DIATREND,balanced_sex_tomek_links,sex,tomek_links,TBR_2,C,0.0,0.0,17
DIATREND,balanced_sex_undersampling,sex,undersampling,TBR_2,C,0.0,0.0,18
DIATREND,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,TBR_2,C,0.0,0.0,19
DIATREND,balanced_sex_undersampling_smote,sex,undersampling_smote,TBR_2,C,0.0,0.0,20
DIATREND,original,,original,TBR_2,C,0.0,0.0,21
DIATREND,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,TBR_2,D,95.82,3.57,1
DIATREND,balanced_age_undersampling,age,undersampling,TBR_2,D,95.85,3.3,2
DIATREND,original,,original,TBR_2,D,96.53,2.02,3
DIATREND,balanced_sex_undersampling,sex,undersampling,TBR_2,D,96.71,1.86,4
DIATREND,balanced_sex_jittering,sex,jittering,TBR_2,D,96.72,1.98,5
DIATREND,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,TBR_2,D,96.73,1.73,6
DIATREND,balanced_sex_smote_tomek,sex,smote_tomek,TBR_2,D,96.8,1.93,7
DIATREND,balanced_sex_oversampling_tomek,sex,oversampling_tomek,TBR_2,D,96.81,1.87,8
DIATREND,balanced_sex_undersampling_smote,sex,undersampling_smote,TBR_2,D,96.87,1.96,9
DIATREND,balanced_sex_tomek_links,sex,tomek_links,TBR_2,D,96.91,1.86,10
DIATREND,balanced_sex_oversampling,sex,oversampling,TBR_2,D,96.93,1.53,11
DIATREND,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,TBR_2,D,96.95,1.68,12
DIATREND,balanced_age_tomek_links,age,tomek_links,TBR_2,D,96.97,1.67,13
DIATREND,balanced_age_jittering,age,jittering,TBR_2,D,97.07,1.86,14
DIATREND,balanced_sex_smote,sex,smote,TBR_2,D,97.07,1.54,15
DIATREND,balanced_age_undersampling_smote,age,undersampling_smote,TBR_2,D,97.1,1.83,16
DIATREND,balanced_age_undersampling_oversampling,age,undersampling_oversampling,TBR_2,D,97.16,1.78,17
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,TBR_2,D,97.24,1.57,18
DIATREND,balanced_age_smote_tomek,age,smote_tomek,TBR_2,D,97.3,1.74,19
DIATREND,balanced_age_smote,age,smote,TBR_2,D,97.32,1.49,20
DIATREND,balanced_age_oversampling,age,oversampling,TBR_2,D,97.49,1.65,21
DIATREND,balanced_age_oversampling,age,oversampling,TBR_2,E,2.51,1.65,1
DIATREND,balanced_age_smote,age,smote,TBR_2,E,2.68,1.49,2
DIATREND,balanced_age_smote_tomek,age,smote_tomek,TBR_2,E,2.7,1.74,3
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,TBR_2,E,2.76,1.57,4
DIATREND,balanced_age_undersampling_oversampling,age,undersampling_oversampling,TBR_2,E,2.84,1.78,5
DIATREND,balanced_age_undersampling_smote,age,undersampling_smote,TBR_2,E,2.9,1.83,6
DIATREND,balanced_sex_oversampling,sex,oversampling,TBR_2,E,2.9,1.61,7
DIATREND,balanced_age_jittering,age,jittering,TBR_2,E,2.93,1.86,8
DIATREND,balanced_sex_smote,sex,smote,TBR_2,E,2.93,1.54,9
DIATREND,balanced_age_tomek_links,age,tomek_links,TBR_2,E,2.95,1.54,10
DIATREND,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,TBR_2,E,3.05,1.68,11
DIATREND,balanced_sex_tomek_links,sex,tomek_links,TBR_2,E,3.09,1.86,12
DIATREND,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,TBR_2,E,3.12,1.8,13
DIATREND,balanced_sex_undersampling_smote,sex,undersampling_smote,TBR_2,E,3.13,1.96,14
DIATREND,balanced_sex_oversampling_tomek,sex,oversampling_tomek,TBR_2,E,3.19,1.87,15
DIATREND,balanced_sex_smote_tomek,sex,smote_tomek,TBR_2,E,3.2,1.93,16
DIATREND,balanced_sex_jittering,sex,jittering,TBR_2,E,3.28,1.98,17
DIATREND,balanced_sex_undersampling,sex,undersampling,TBR_2,E,3.29,1.86,18
DIATREND,original,,original,TBR_2,E,3.47,2.02,19
DIATREND,balanced_age_undersampling,age,undersampling,TBR_2,E,4.15,3.3,20
DIATREND,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,TBR_2,E,4.18,3.57,21
DIATREND,balanced_sex_oversampling,sex,oversampling,TBR_2,A + B,0.18,0.4,1
DIATREND,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,TBR_2,A + B,0.15,0.34,2
DIATREND,balanced_age_tomek_links,age,tomek_links,TBR_2,A + B,0.08,0.17,3
DIATREND,balanced_age_oversampling,age,oversampling,TBR_2,A + B,0.0,0.0,4
DIATREND,balanced_age_jittering,age,jittering,TBR_2,A + B,0.0,0.0,5
DIATREND,balanced_age_smote,age,smote,TBR_2,A + B,0.0,0.0,6
DIATREND,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,TBR_2,A + B,0.0,0.0,7
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,TBR_2,A + B,0.0,0.0,8
