Condition,T1DGranada Zone A,T1DGranada Zone A + B,DiaTrend Zone A,DiaTrend Zone A + B,ReplaceBG Zone A,ReplaceBG Zone A + B
Original,67.6 ± 0.8,94.4 ± 0.4,64.7 ± 2.8,95.6 ± 0.8,67.3 ± 0.6,95.0 ± 0.2
Age · Jittering,67.4 ± 0.9,94.5 ± 0.4,64.3 ± 2.0,95.3 ± 0.8,67.6 ± 0.8,95.0 ± 0.2
Age · Oversampling,—,—,64.3 ± 2.0,95.2 ± 0.8,67.6 ± 0.7,95.0 ± 0.2
Age · PAUndersampling,67.8 ± 0.9,94.6 ± 0.4,65.1 ± 2.4,95.6 ± 0.8,67.8 ± 0.8,95.0 ± 0.2
Age · Ref. Proportional,67.7 ± 0.7,94.5 ± 0.4,64.5 ± 2.0,95.3 ± 0.9,67.7 ± 0.7,95.0 ± 0.2
Age · SMOTE,67.8 ± 0.8,94.6 ± 0.3,64.5 ± 1.9,95.3 ± 0.8,67.7 ± 0.7,95.0 ± 0.2
Age · Undersampling,67.6 ± 0.7,94.4 ± 0.3,64.9 ± 2.3,95.5 ± 0.8,67.6 ± 0.8,95.0 ± 0.2
Sex · Jittering,67.7 ± 0.9,94.5 ± 0.3,65.5 ± 2.0,95.6 ± 0.8,67.7 ± 0.7,95.0 ± 0.2
Sex · Oversampling,67.6 ± 0.8,94.5 ± 0.3,65.3 ± 1.9,95.6 ± 0.8,67.6 ± 0.8,95.0 ± 0.2
Sex · PAUndersampling,67.5 ± 0.9,94.4 ± 0.4,65.0 ± 2.2,95.5 ± 0.8,67.6 ± 0.8,95.0 ± 0.2
Sex · Ref. Proportional,67.8 ± 0.8,94.5 ± 0.4,65.2 ± 2.2,95.5 ± 0.8,67.6 ± 0.6,95.0 ± 0.2
Sex · SMOTE,67.8 ± 0.6,94.5 ± 0.2,65.5 ± 1.9,95.6 ± 0.8,67.7 ± 0.7,95.0 ± 0.2
Sex · Undersampling,67.7 ± 0.8,94.5 ± 0.3,65.3 ± 2.0,95.6 ± 0.8,67.5 ± 0.6,95.0 ± 0.2
