Condition,T1DGranada Zone A,T1DGranada Zone A + B,DiaTrend Zone A,DiaTrend Zone A + B,ReplaceBG Zone A,ReplaceBG Zone A + B
Age · Jittering,67.4 ± 0.6,94.4 ± 0.3,63.6 ± 2.4,95.2 ± 0.8,67.0 ± 0.6,94.9 ± 0.2
Age · PAUndersampling,67.6 ± 0.7,94.4 ± 0.4,61.4 ± 3.0,95.3 ± 0.8,67.2 ± 0.5,95.0 ± 0.2
Age · SMOTE,67.5 ± 0.8,94.6 ± 0.4,64.3 ± 2.2,95.3 ± 0.9,67.4 ± 0.8,95.0 ± 0.2
Age · Tomek Links,67.7 ± 1.0,94.5 ± 0.4,65.2 ± 2.3,95.6 ± 0.8,67.5 ± 0.7,95.0 ± 0.2
Age · balanced_age_smote_tomek,67.6 ± 0.8,94.5 ± 0.3,64.2 ± 1.9,95.3 ± 0.8,67.4 ± 0.9,95.0 ± 0.2
Sex · Jittering,67.5 ± 0.8,94.4 ± 0.2,64.9 ± 2.2,95.5 ± 0.9,67.6 ± 0.9,95.0 ± 0.2
Sex · PAUndersampling,67.5 ± 0.9,94.5 ± 0.4,64.6 ± 1.9,95.5 ± 0.8,67.5 ± 0.8,95.0 ± 0.2
Sex · SMOTE,67.6 ± 1.1,94.4 ± 0.4,65.1 ± 1.9,95.5 ± 0.8,67.2 ± 0.9,95.0 ± 0.2
Sex · Tomek Links,67.5 ± 0.8,94.4 ± 0.3,65.0 ± 2.0,95.6 ± 0.8,67.2 ± 0.7,95.0 ± 0.2
Sex · balanced_sex_smote_tomek,67.3 ± 0.5,94.4 ± 0.1,65.0 ± 2.3,95.6 ± 0.8,67.6 ± 0.8,95.0 ± 0.2
