Condition,T1DiabetesGranada,DiaTrend,ReplaceBG
Age · Jittering,-0.1%,+2.1%,-1.5%
Age · Oversampling,+0.5%,+3.4%,+0.5%
Age · PAUndersampling,-1.7%,-6.5%,-1.5%
Age · SMOTE,+2.4%,+5.3%,+2.3%
Age · Undersampling,-0.5%,-5.2%,-0.7%
Age · Tomek Links,+0.7%,+1.5%,+1.0%
Age · Undersampling + Oversampling,-0.7%,+1.3%,+0.5%
Age · Undersampling + SMOTE,+1.5%,+3.6%,+1.8%
Age · balanced_age_smote_tomek,+1.6%,+4.0%,+0.4%
Age · Oversampling + Tomek Links,+1.3%,+4.6%,+0.9%
Sex · Jittering,-0.4%,+0.7%,+2.8%
Sex · Oversampling,-0.3%,+1.0%,+1.5%
Sex · PAUndersampling,+0.5%,-1.9%,+3.4%
Sex · SMOTE,+0.2%,+1.3%,-0.5%
Sex · Undersampling,-1.2%,+0.8%,+0.5%
Sex · Tomek Links,-1.6%,+1.7%,-0.5%
Sex · Undersampling + Oversampling,-1.4%,+1.3%,+1.4%
Sex · Undersampling + SMOTE,+1.3%,+0.9%,+2.3%
Sex · balanced_sex_smote_tomek,-0.6%,+1.6%,+0.8%
Sex · Oversampling + Tomek Links,+1.3%,-0.1%,+2.0%
