Condition,T1DGranada_Hypo L2,T1DGranada_Hypo L1,T1DGranada_In Range,T1DGranada_Hyper L1,T1DGranada_Hyper L2,T1DGranada_All Ranges,DiaTrend_Hypo L2,DiaTrend_Hypo L1,DiaTrend_In Range,DiaTrend_Hyper L1,DiaTrend_Hyper L2,DiaTrend_All Ranges,ReplaceBG_Hypo L2,ReplaceBG_Hypo L1,ReplaceBG_In Range,ReplaceBG_Hyper L1,ReplaceBG_Hyper L2,ReplaceBG_All Ranges
Original,35.10 ± 1.31,30.64 ± 0.77,19.37 ± 0.42,33.73 ± 0.51,55.90 ± 1.29,27.51 ± 0.62,71.22 ± 6.14,55.15 ± 2.65,22.67 ± 0.74,32.90 ± 0.89,60.55 ± 3.63,33.25 ± 1.87,54.45 ± 1.52,38.57 ± 1.12,19.01 ± 0.35,34.56 ± 0.86,59.37 ± 0.95,27.15 ± 0.75
Age · Jittering,36.57 ± 1.15,31.18 ± 0.82,19.41 ± 0.49,33.58 ± 0.50,56.01 ± 1.16,27.54 ± 0.49,71.47 ± 7.80,55.30 ± 4.26,22.04 ± 0.76,35.10 ± 1.07,64.67 ± 1.60,34.29 ± 1.61,53.50 ± 1.33,37.42 ± 1.15,19.03 ± 0.32,35.00 ± 0.72,58.68 ± 0.89,27.17 ± 0.84
Age · Oversampling,35.77 ± 1.66,30.89 ± 1.22,19.37 ± 0.44,33.72 ± 0.78,55.76 ± 1.57,27.51 ± 0.66,69.83 ± 6.12,53.00 ± 3.45,21.73 ± 0.67,35.97 ± 1.11,63.06 ± 2.18,34.05 ± 1.54,54.22 ± 0.79,38.03 ± 1.00,19.07 ± 0.42,34.73 ± 0.67,58.36 ± 0.72,27.13 ± 0.78
Age · PAUndersampling,35.98 ± 1.66,31.14 ± 1.49,19.58 ± 0.43,33.12 ± 0.41,55.03 ± 1.74,27.42 ± 0.71,76.06 ± 4.76,58.74 ± 2.30,22.59 ± 0.81,34.55 ± 0.76,71.59 ± 6.53,35.83 ± 2.44,53.26 ± 0.54,37.37 ± 0.64,19.07 ± 0.42,34.70 ± 1.03,57.85 ± 1.02,27.03 ± 0.71
Age · Ref. Proportional,35.93 ± 0.91,31.04 ± 0.73,19.35 ± 0.50,33.69 ± 0.32,55.92 ± 1.22,27.51 ± 0.48,72.02 ± 5.38,54.51 ± 2.95,21.84 ± 0.75,35.74 ± 1.21,63.23 ± 2.45,34.10 ± 1.68,54.65 ± 0.98,38.90 ± 0.79,19.08 ± 0.28,34.97 ± 0.57,58.65 ± 0.65,27.24 ± 0.70
Age · SMOTE,34.74 ± 1.30,30.25 ± 0.92,19.48 ± 0.45,33.33 ± 0.52,55.49 ± 1.29,27.42 ± 0.56,69.39 ± 5.85,52.87 ± 2.91,21.83 ± 0.69,35.62 ± 0.89,62.67 ± 1.43,33.92 ± 1.40,53.71 ± 1.12,37.95 ± 1.10,19.12 ± 0.42,34.64 ± 0.58,58.03 ± 0.74,27.10 ± 0.84
Age · Undersampling,36.89 ± 1.74,32.20 ± 1.36,19.62 ± 0.37,32.92 ± 0.79,55.68 ± 1.63,27.52 ± 0.39,75.71 ± 3.03,58.33 ± 0.78,22.75 ± 0.83,33.96 ± 1.22,69.82 ± 4.02,35.40 ± 2.31,54.93 ± 0.76,38.89 ± 0.61,19.14 ± 0.35,34.63 ± 0.67,58.44 ± 1.56,27.19 ± 0.87
Sex · Jittering,35.38 ± 1.64,30.35 ± 1.37,19.34 ± 0.36,34.03 ± 0.71,55.74 ± 1.44,27.54 ± 0.74,69.91 ± 7.14,54.50 ± 2.90,22.18 ± 0.76,33.44 ± 0.83,61.45 ± 2.18,33.28 ± 1.59,54.18 ± 0.93,38.12 ± 0.81,19.08 ± 0.33,34.42 ± 1.10,58.33 ± 0.97,27.05 ± 0.78
Sex · Oversampling,35.48 ± 1.36,30.61 ± 1.17,19.39 ± 0.45,34.20 ± 0.40,56.49 ± 0.94,27.70 ± 0.61,70.86 ± 5.77,54.47 ± 2.87,22.20 ± 0.72,33.64 ± 1.16,61.37 ± 2.52,33.35 ± 1.67,54.10 ± 0.87,38.18 ± 0.91,19.06 ± 0.36,34.57 ± 1.15,58.82 ± 1.77,27.14 ± 0.91
Sex · PAUndersampling,35.05 ± 1.18,30.32 ± 1.05,19.38 ± 0.41,33.83 ± 0.38,56.13 ± 1.79,27.56 ± 0.68,74.29 ± 6.22,57.66 ± 3.85,22.50 ± 0.76,33.47 ± 0.89,60.90 ± 2.58,33.42 ± 1.63,53.79 ± 1.11,37.85 ± 0.79,19.07 ± 0.34,34.77 ± 0.53,57.86 ± 0.40,27.07 ± 0.75
