Condition,T1DiabetesGranada_Hypo L2,T1DiabetesGranada_Hypo L1,T1DiabetesGranada_In Range,T1DiabetesGranada_Hyper L1,T1DiabetesGranada_Hyper L2,T1DiabetesGranada_All Ranges,DiaTrend_Hypo L2,DiaTrend_Hypo L1,DiaTrend_In Range,DiaTrend_Hyper L1,DiaTrend_Hyper L2,DiaTrend_All Ranges,ReplaceBG_Hypo L2,ReplaceBG_Hypo L1,ReplaceBG_In Range,ReplaceBG_Hyper L1,ReplaceBG_Hyper L2,ReplaceBG_All Ranges
Age · Jittering,35.52 ± 1.49,30.67 ± 1.09,19.41 ± 0.43,34.09 ± 0.50,56.69 ± 0.96,27.71 ± 0.56,69.76 ± 6.99,53.98 ± 3.79,21.88 ± 0.88,35.34 ± 0.86,64.84 ± 2.06,34.28 ± 1.61,55.14 ± 0.62,39.13 ± 0.86,19.05 ± 0.28,35.16 ± 0.98,59.49 ± 0.73,27.35 ± 0.65
Age · PAUndersampling,35.60 ± 1.55,31.17 ± 1.06,19.51 ± 0.61,32.95 ± 1.34,54.82 ± 1.53,27.30 ± 0.30,76.39 ± 5.88,58.74 ± 3.61,22.61 ± 0.83,34.69 ± 0.84,71.01 ± 4.85,35.76 ± 2.18,55.06 ± 1.95,39.16 ± 1.83,19.18 ± 0.31,34.59 ± 1.08,58.57 ± 1.31,27.21 ± 0.74
Age · SMOTE,34.08 ± 1.44,29.91 ± 1.00,19.43 ± 0.40,34.19 ± 0.13,56.34 ± 0.98,27.67 ± 0.53,69.04 ± 5.98,52.23 ± 3.40,21.83 ± 0.67,35.43 ± 1.20,62.52 ± 2.25,33.83 ± 1.60,53.81 ± 1.31,37.68 ± 1.41,19.14 ± 0.39,34.84 ± 0.58,58.19 ± 0.65,27.16 ± 0.76
Age · Tomek Links,35.24 ± 1.12,30.43 ± 1.11,19.44 ± 0.40,33.53 ± 0.81,55.41 ± 2.09,27.44 ± 0.69,69.55 ± 6.76,54.31 ± 3.06,22.49 ± 0.69,32.67 ± 1.15,60.41 ± 2.50,33.03 ± 1.70,54.17 ± 1.89,38.18 ± 1.75,19.09 ± 0.38,34.63 ± 0.42,57.67 ± 1.09,27.05 ± 0.70
Age · balanced_age_smote_tomek,34.51 ± 0.84,30.16 ± 0.74,19.36 ± 0.46,33.86 ± 0.36,56.60 ± 1.27,27.59 ± 0.69,69.72 ± 6.39,52.92 ± 3.82,21.91 ± 0.66,35.51 ± 0.95,62.25 ± 2.19,33.86 ± 1.40,54.30 ± 1.40,38.42 ± 1.33,19.14 ± 0.31,34.97 ± 0.78,57.68 ± 1.02,27.17 ± 0.79
Sex · Jittering,35.67 ± 0.50,30.77 ± 0.44,19.30 ± 0.38,34.01 ± 0.79,56.53 ± 1.04,27.61 ± 0.71,71.12 ± 6.44,54.74 ± 3.27,22.23 ± 0.72,33.59 ± 1.14,61.77 ± 2.10,33.42 ± 1.64,53.52 ± 1.86,37.49 ± 1.53,19.04 ± 0.40,34.46 ± 1.16,58.68 ± 1.32,27.04 ± 0.75
Sex · PAUndersampling,34.99 ± 1.34,30.48 ± 1.36,19.38 ± 0.39,34.04 ± 0.61,56.24 ± 1.40,27.62 ± 0.61,72.87 ± 5.11,56.18 ± 2.88,22.30 ± 0.74,33.87 ± 0.82,61.26 ± 1.99,33.49 ± 1.46,53.05 ± 0.71,37.26 ± 1.10,19.09 ± 0.31,34.85 ± 0.88,58.35 ± 0.78,27.13 ± 0.82
Sex · SMOTE,35.34 ± 1.18,30.57 ± 0.96,19.40 ± 0.40,33.73 ± 0.96,55.76 ± 1.16,27.51 ± 0.69,70.07 ± 5.93,54.43 ± 2.97,22.29 ± 0.49,33.56 ± 1.31,60.34 ± 2.42,33.18 ± 1.55,54.83 ± 1.40,38.77 ± 1.19,19.08 ± 0.39,34.80 ± 1.34,58.82 ± 1.05,27.21 ± 0.80
Sex · Tomek Links,35.95 ± 2.27,31.12 ± 1.65,19.54 ± 0.58,33.18 ± 1.54,55.41 ± 2.19,27.47 ± 0.74,69.87 ± 5.40,54.22 ± 2.26,22.37 ± 0.64,33.26 ± 0.85,60.94 ± 2.53,33.24 ± 1.53,54.65 ± 1.16,38.78 ± 0.87,19.15 ± 0.31,34.75 ± 0.60,58.44 ± 0.55,27.21 ± 0.74
Sex · balanced_sex_smote_tomek,35.46 ± 1.21,30.81 ± 1.17,19.35 ± 0.40,33.87 ± 0.58,56.81 ± 1.50,27.65 ± 0.68,70.41 ± 5.64,54.26 ± 2.29,22.38 ± 0.78,33.34 ± 0.76,60.61 ± 2.95,33.22 ± 1.68,54.22 ± 0.91,38.28 ± 0.90,19.10 ± 0.40,34.39 ± 0.66,57.62 ± 0.77,27.00 ± 0.75
