Condition,T1DGranada_Hypo L2,T1DGranada_Hypo L1,T1DGranada_In Range,T1DGranada_Hyper L1,T1DGranada_Hyper L2,T1DGranada_All Ranges,DiaTrend_Hypo L2,DiaTrend_Hypo L1,DiaTrend_In Range,DiaTrend_Hyper L1,DiaTrend_Hyper L2,DiaTrend_All Ranges,ReplaceBG_Hypo L2,ReplaceBG_Hypo L1,ReplaceBG_In Range,ReplaceBG_Hyper L1,ReplaceBG_Hyper L2,ReplaceBG_All Ranges
Original,39.38 ± 1.38,35.92 ± 0.90,26.62 ± 0.64,42.95 ± 0.65,66.33 ± 1.27,37.80 ± 0.81,75.28 ± 7.33,59.82 ± 3.94,30.72 ± 1.14,42.08 ± 1.21,72.34 ± 4.08,45.05 ± 2.45,57.29 ± 1.54,42.02 ± 1.17,25.66 ± 0.55,43.18 ± 1.10,69.31 ± 0.89,37.00 ± 0.83
Age · Jittering,40.04 ± 1.64,36.15 ± 1.35,26.52 ± 0.59,43.45 ± 0.56,67.19 ± 1.42,38.08 ± 0.90,72.85 ± 8.41,57.97 ± 4.78,29.38 ± 1.28,44.04 ± 1.20,75.51 ± 2.78,45.98 ± 2.11,56.32 ± 1.48,41.00 ± 1.31,25.64 ± 0.57,43.94 ± 0.95,69.03 ± 0.94,37.10 ± 0.82
Age · Oversampling,—,—,—,—,—,—,72.16 ± 7.31,56.80 ± 4.48,29.10 ± 1.16,44.82 ± 1.30,75.28 ± 2.92,46.02 ± 2.13,56.20 ± 1.27,41.06 ± 0.83,25.54 ± 0.62,43.73 ± 0.86,68.88 ± 1.08,36.98 ± 0.79
Age · PAUndersampling,39.25 ± 1.51,35.66 ± 1.36,26.80 ± 0.57,42.91 ± 0.42,65.96 ± 1.39,37.78 ± 0.86,73.62 ± 6.87,58.62 ± 3.75,30.37 ± 0.83,42.33 ± 1.58,72.14 ± 3.80,44.87 ± 2.34,56.76 ± 0.53,41.45 ± 0.86,25.79 ± 0.52,43.30 ± 1.11,67.44 ± 1.39,36.75 ± 0.76
Age · Ref. Proportional,39.70 ± 1.23,35.84 ± 1.07,26.61 ± 0.58,43.08 ± 0.35,66.19 ± 1.28,37.80 ± 0.72,72.80 ± 7.59,57.12 ± 4.67,29.26 ± 1.18,44.19 ± 1.22,74.67 ± 2.39,45.71 ± 2.05,56.79 ± 1.37,41.66 ± 1.50,25.94 ± 0.79,42.65 ± 0.87,66.93 ± 2.30,36.63 ± 1.10
Age · SMOTE,39.26 ± 1.63,35.53 ± 1.45,26.83 ± 0.59,42.78 ± 0.40,65.60 ± 1.59,37.68 ± 0.77,72.41 ± 6.96,57.09 ± 4.04,29.47 ± 1.14,44.48 ± 1.42,74.06 ± 2.80,45.66 ± 2.04,56.21 ± 1.35,41.09 ± 1.44,25.59 ± 0.49,43.64 ± 0.98,68.35 ± 1.12,36.89 ± 0.62
Age · Undersampling,39.80 ± 1.33,35.74 ± 0.97,26.69 ± 0.59,43.34 ± 0.31,65.89 ± 1.47,37.85 ± 0.74,74.69 ± 8.27,59.47 ± 4.87,30.47 ± 1.36,42.52 ± 0.96,72.40 ± 3.11,45.06 ± 2.16,57.19 ± 1.78,41.91 ± 1.38,25.63 ± 0.55,43.34 ± 1.00,67.89 ± 1.33,36.79 ± 0.66
Sex · Jittering,39.37 ± 1.22,35.56 ± 0.80,26.54 ± 0.67,43.28 ± 0.63,66.74 ± 0.70,37.92 ± 0.76,73.21 ± 9.42,58.11 ± 5.43,30.21 ± 1.19,42.64 ± 1.06,72.66 ± 3.15,45.03 ± 2.09,56.77 ± 1.73,41.46 ± 1.20,25.66 ± 0.62,43.40 ± 1.00,68.12 ± 1.13,36.83 ± 0.69
Sex · Oversampling,39.38 ± 1.01,35.53 ± 0.89,26.48 ± 0.68,43.45 ± 0.43,66.90 ± 0.66,37.97 ± 0.66,73.63 ± 8.96,58.68 ± 5.39,30.17 ± 1.29,42.41 ± 1.06,72.34 ± 2.97,44.85 ± 2.05,56.52 ± 0.92,41.19 ± 0.96,25.77 ± 0.50,43.31 ± 0.77,68.27 ± 0.71,36.87 ± 0.84
Sex · PAUndersampling,39.56 ± 1.53,35.92 ± 1.29,26.46 ± 0.61,43.26 ± 0.53,66.87 ± 1.18,37.93 ± 0.85,74.70 ± 7.63,59.38 ± 4.33,30.08 ± 1.19,42.89 ± 1.12,72.73 ± 3.18,45.11 ± 2.16,56.80 ± 1.63,41.39 ± 1.39,25.70 ± 0.46,43.54 ± 0.98,68.34 ± 0.53,36.93 ± 0.86
