Condition,T1DGranada_Hypo L2,T1DGranada_Hypo L1,T1DGranada_In Range,T1DGranada_Hyper L1,T1DGranada_Hyper L2,T1DGranada_All Ranges,DiaTrend_Hypo L2,DiaTrend_Hypo L1,DiaTrend_In Range,DiaTrend_Hyper L1,DiaTrend_Hyper L2,DiaTrend_All Ranges,ReplaceBG_Hypo L2,ReplaceBG_Hypo L1,ReplaceBG_In Range,ReplaceBG_Hyper L1,ReplaceBG_Hyper L2,ReplaceBG_All Ranges
Age · Jittering,39.81 ± 1.30,36.07 ± 0.85,26.69 ± 0.65,43.30 ± 0.54,67.12 ± 1.10,38.09 ± 0.77,73.55 ± 7.47,58.27 ± 4.45,29.51 ± 1.21,44.39 ± 1.06,76.43 ± 2.79,46.41 ± 2.14,57.84 ± 0.50,42.44 ± 0.56,25.64 ± 0.51,43.87 ± 1.05,69.64 ± 0.90,37.25 ± 0.76
Age · PAUndersampling,39.83 ± 1.55,36.43 ± 1.22,26.85 ± 0.85,42.36 ± 0.95,65.35 ± 1.26,37.56 ± 0.39,79.66 ± 7.36,62.45 ± 4.66,30.17 ± 1.40,43.26 ± 1.16,81.89 ± 5.36,48.22 ± 3.09,57.64 ± 1.95,42.34 ± 1.70,25.81 ± 0.46,43.39 ± 1.26,68.83 ± 1.45,37.06 ± 0.72
Age · SMOTE,38.74 ± 1.49,35.46 ± 1.20,26.67 ± 0.61,43.36 ± 0.25,66.72 ± 1.06,37.98 ± 0.70,72.71 ± 6.82,56.82 ± 4.41,29.60 ± 1.14,44.46 ± 1.39,74.30 ± 2.97,45.80 ± 2.16,56.63 ± 1.35,41.18 ± 1.47,25.83 ± 0.54,43.61 ± 0.77,68.40 ± 0.90,37.00 ± 0.77
Age · Tomek Links,39.49 ± 1.26,35.73 ± 1.14,26.75 ± 0.55,42.98 ± 0.75,65.99 ± 2.05,37.79 ± 0.87,73.88 ± 7.36,59.10 ± 3.97,30.49 ± 1.11,42.01 ± 1.45,72.10 ± 3.07,44.83 ± 2.23,57.08 ± 1.78,41.68 ± 1.64,25.75 ± 0.56,43.38 ± 0.57,67.92 ± 1.21,36.85 ± 0.77
Age · balanced_age_smote_tomek,39.05 ± 1.08,35.63 ± 0.83,26.62 ± 0.68,43.07 ± 0.49,66.87 ± 1.44,37.93 ± 0.89,73.35 ± 7.28,57.41 ± 4.78,29.70 ± 1.20,44.53 ± 1.25,74.12 ± 2.93,45.81 ± 2.07,57.08 ± 1.39,41.77 ± 1.35,25.77 ± 0.39,43.72 ± 0.94,68.02 ± 0.99,36.97 ± 0.81
Sex · Jittering,39.81 ± 0.77,35.96 ± 0.62,26.49 ± 0.56,43.19 ± 0.82,66.94 ± 1.17,37.93 ± 0.91,75.15 ± 7.34,59.42 ± 4.26,30.22 ± 1.16,42.75 ± 1.47,73.41 ± 2.73,45.33 ± 2.17,56.46 ± 1.80,41.13 ± 1.50,25.74 ± 0.57,43.28 ± 1.23,68.78 ± 1.33,36.93 ± 0.82
Sex · PAUndersampling,39.35 ± 1.52,35.83 ± 1.27,26.60 ± 0.51,43.22 ± 0.63,66.64 ± 1.46,37.92 ± 0.77,76.12 ± 6.01,60.17 ± 3.69,30.17 ± 1.21,42.92 ± 0.98,72.98 ± 2.55,45.26 ± 1.98,56.11 ± 0.76,40.94 ± 1.13,25.75 ± 0.44,43.60 ± 0.92,68.50 ± 0.86,36.98 ± 0.81
Sex · SMOTE,39.60 ± 1.33,35.91 ± 1.03,26.66 ± 0.52,42.96 ± 0.93,66.25 ± 1.20,37.80 ± 0.86,74.32 ± 6.60,59.24 ± 3.79,30.29 ± 0.85,42.64 ± 1.55,72.15 ± 3.06,44.94 ± 2.12,57.47 ± 1.51,42.03 ± 1.31,25.69 ± 0.51,43.50 ± 1.41,68.96 ± 0.97,37.04 ± 0.84
Sex · Tomek Links,39.99 ± 1.70,36.28 ± 1.39,26.87 ± 0.89,42.63 ± 1.10,65.91 ± 2.06,37.78 ± 0.89,74.15 ± 6.25,58.98 ± 3.16,30.34 ± 1.07,42.48 ± 1.20,72.61 ± 3.07,45.06 ± 2.08,57.35 ± 1.31,42.07 ± 1.08,25.76 ± 0.43,43.50 ± 0.70,68.60 ± 0.73,37.02 ± 0.79
Sex · balanced_sex_smote_tomek,39.63 ± 0.94,36.03 ± 0.91,26.56 ± 0.64,43.07 ± 0.72,67.11 ± 1.63,37.97 ± 0.98,74.59 ± 6.65,59.06 ± 3.54,30.40 ± 1.23,42.55 ± 1.01,72.37 ± 3.48,45.04 ± 2.25,57.13 ± 1.07,41.79 ± 1.08,25.78 ± 0.57,43.18 ± 0.79,67.92 ± 0.94,36.81 ± 0.80
