Condition,T1DGranada,DiaTrend,ReplaceBG
Original,#5  (27.51±0.62),#7  (33.25±1.87),#13  (27.15±0.75)
Age · Jittering,#19  (27.71±0.56),#19  (34.28±1.61),#21  (27.35±0.65)
Age · Oversampling,#21  (27.73±0.65),#18  (34.07±1.57),#15  (27.16±0.69)
Age · PAUndersampling,#1  (27.30±0.30),#21  (35.76±2.18),#18  (27.21±0.74)
Age · SMOTE,#16  (27.67±0.53),#14  (33.83±1.60),#14  (27.16±0.76)
Age · Undersampling,#9  (27.59±0.51),#20  (35.27±2.06),#20  (27.24±0.93)
Age · Tomek Links,#2  (27.44±0.69),#1  (33.03±1.70),#6  (27.05±0.70)
Age · Undersampling + Oversampling,#20  (27.71±0.64),#17  (33.99±1.60),#3  (27.02±0.71)
Age · Undersampling + SMOTE,#7  (27.57±0.69),#16  (33.96±1.48),#10  (27.12±0.67)
Age · balanced_age_smote_tomek,#8  (27.59±0.69),#15  (33.86±1.40),#16  (27.17±0.79)
Age · Oversampling + Tomek Links,#10  (27.60±0.68),#13  (33.52±1.42),#7  (27.07±0.83)
Sex · Jittering,#12  (27.61±0.71),#11  (33.42±1.64),#5  (27.04±0.75)
Sex · Oversampling,#11  (27.61±0.68),#3  (33.21±1.57),#2  (27.01±0.70)
Sex · PAUndersampling,#13  (27.62±0.61),#12  (33.49±1.46),#11  (27.13±0.82)
Sex · SMOTE,#4  (27.51±0.69),#2  (33.18±1.55),#19  (27.21±0.80)
Sex · Undersampling,#14  (27.62±0.61),#9  (33.28±1.64),#8  (27.11±0.66)
Sex · Tomek Links,#3  (27.47±0.74),#6  (33.24±1.53),#17  (27.21±0.74)
Sex · Undersampling + Oversampling,#17  (27.70±0.75),#4  (33.21±1.69),#9  (27.12±0.79)
Sex · Undersampling + SMOTE,#18  (27.71±0.57),#10  (33.34±1.54),#12  (27.15±0.55)
Sex · balanced_sex_smote_tomek,#15  (27.65±0.68),#5  (33.22±1.68),#1  (27.00±0.75)
Sex · Oversampling + Tomek Links,#6  (27.52±0.77),#8  (33.28±1.65),#4  (27.02±0.79)
