Condition,T1DiabetesGranada,DiaTrend,ReplaceBG
Age · Jittering,#10  (27.71±0.56),#9  (34.28±1.61),#10  (27.35±0.65)
Age · PAUndersampling,#1  (27.30±0.30),#10  (35.76±2.18),#8  (27.21±0.74)
Age · SMOTE,#9  (27.67±0.53),#7  (33.83±1.60),#5  (27.16±0.76)
Age · Tomek Links,#2  (27.44±0.69),#1  (33.03±1.70),#3  (27.05±0.70)
Age · balanced_age_smote_tomek,#5  (27.59±0.69),#8  (33.86±1.40),#6  (27.17±0.79)
Sex · Jittering,#6  (27.61±0.71),#5  (33.42±1.64),#2  (27.04±0.75)
Sex · PAUndersampling,#7  (27.62±0.61),#6  (33.49±1.46),#4  (27.13±0.82)
Sex · SMOTE,#4  (27.51±0.69),#2  (33.18±1.55),#7  (27.21±0.80)
Sex · Tomek Links,#3  (27.47±0.74),#4  (33.24±1.53),#9  (27.21±0.74)
Sex · balanced_sex_smote_tomek,#8  (27.65±0.68),#3  (33.22±1.68),#1  (27.00±0.75)
