Condition,T1DGranada,DiaTrend,ReplaceBG
Original,#7  (35.10±1.31),#17  (71.22±6.14),#16  (54.45±1.52)
Age · Jittering,#15  (35.52±1.49),#6  (69.76±6.99),#21  (55.14±0.62)
Age · Oversampling,#8  (35.13±1.44),#4  (69.60±6.44),#13  (54.28±1.22)
Age · PAUndersampling,#17  (35.60±1.55),#21  (76.39±5.88),#20  (55.06±1.95)
Age · SMOTE,#1  (34.08±1.44),#1  (69.04±5.98),#4  (53.81±1.31)
Age · Undersampling,#11  (35.34±1.51),#20  (75.43±5.57),#18  (54.77±1.83)
Age · Tomek Links,#10  (35.24±1.12),#3  (69.55±6.76),#10  (54.17±1.89)
Age · Undersampling + Oversampling,#6  (35.09±1.21),#13  (70.64±5.60),#11  (54.19±1.83)
Age · Undersampling + SMOTE,#2  (34.35±1.51),#11  (70.23±6.34),#7  (54.08±1.47)
Age · balanced_age_smote_tomek,#3  (34.51±0.84),#5  (69.72±6.39),#14  (54.30±1.40)
Age · Oversampling + Tomek Links,#4  (34.85±2.67),#2  (69.42±7.55),#8  (54.11±0.94)
Sex · Jittering,#19  (35.67±0.50),#16  (71.12±6.44),#2  (53.52±1.86)
Sex · Oversampling,#18  (35.65±0.89),#7  (69.82±6.29),#9  (54.14±1.26)
Sex · PAUndersampling,#5  (34.99±1.34),#19  (72.87±5.11),#1  (53.05±0.71)
Sex · SMOTE,#12  (35.34±1.18),#10  (70.07±5.93),#19  (54.83±1.40)
Sex · Undersampling,#16  (35.55±1.12),#14  (70.84±6.92),#15  (54.44±1.62)
Sex · Tomek Links,#21  (35.95±2.27),#8  (69.87±5.40),#17  (54.65±1.16)
Sex · Undersampling + Oversampling,#20  (35.73±1.29),#9  (69.88±6.90),#6  (53.90±1.67)
Sex · Undersampling + SMOTE,#9  (35.17±0.63),#15  (71.06±6.51),#3  (53.58±1.01)
Sex · balanced_sex_smote_tomek,#14  (35.46±1.21),#12  (70.41±5.64),#12  (54.22±0.91)
Sex · Oversampling + Tomek Links,#13  (35.41±1.24),#18  (71.82±4.25),#5  (53.86±0.55)
