Condition,T1DiabetesGranada,DiaTrend,ReplaceBG
Age · Jittering,#7  (35.52±1.49),#4  (69.76±6.99),#10  (55.14±0.62)
Age · PAUndersampling,#8  (35.60±1.55),#10  (76.39±5.88),#9  (55.06±1.95)
Age · SMOTE,#1  (34.08±1.44),#1  (69.04±5.98),#3  (53.81±1.31)
Age · Tomek Links,#4  (35.24±1.12),#2  (69.55±6.76),#4  (54.17±1.89)
Age · balanced_age_smote_tomek,#2  (34.51±0.84),#3  (69.72±6.39),#6  (54.30±1.40)
Sex · Jittering,#9  (35.67±0.50),#8  (71.12±6.44),#2  (53.52±1.86)
Sex · PAUndersampling,#3  (34.99±1.34),#9  (72.87±5.11),#1  (53.05±0.71)
Sex · SMOTE,#5  (35.34±1.18),#6  (70.07±5.93),#8  (54.83±1.40)
Sex · Tomek Links,#10  (35.95±2.27),#5  (69.87±5.40),#7  (54.65±1.16)
Sex · balanced_sex_smote_tomek,#6  (35.46±1.21),#7  (70.41±5.64),#5  (54.22±0.91)
