Condition,T1DiabetesGranada,DiaTrend,ReplaceBG
Age · Jittering,#10  (38.09±0.77),#9  (46.41±2.14),#10  (37.25±0.76)
Age · PAUndersampling,#1  (37.56±0.39),#10  (48.22±3.09),#9  (37.06±0.72)
Age · SMOTE,#9  (37.98±0.70),#7  (45.80±2.16),#6  (37.00±0.77)
Age · Tomek Links,#3  (37.79±0.87),#1  (44.83±2.23),#2  (36.85±0.77)
Age · balanced_age_smote_tomek,#6  (37.93±0.89),#8  (45.81±2.07),#4  (36.97±0.81)
Sex · Jittering,#7  (37.93±0.91),#6  (45.33±2.17),#3  (36.93±0.82)
Sex · PAUndersampling,#5  (37.92±0.77),#5  (45.26±1.98),#5  (36.98±0.81)
Sex · SMOTE,#4  (37.80±0.86),#2  (44.94±2.12),#8  (37.04±0.84)
Sex · Tomek Links,#2  (37.78±0.89),#4  (45.06±2.08),#7  (37.02±0.79)
Sex · balanced_sex_smote_tomek,#8  (37.97±0.98),#3  (45.04±2.25),#1  (36.81±0.80)
