Condition,T1DGranada,DiaTrend,ReplaceBG
Original,#6  (39.38±1.38),#17  (75.28±7.33),#16  (57.29±1.54)
Age · Jittering,#18  (39.81±1.30),#5  (73.55±7.47),#21  (57.84±0.50)
Age · Oversampling,#8  (39.44±1.39),#2  (73.23±7.00),#11  (57.04±1.12)
Age · PAUndersampling,#20  (39.83±1.55),#21  (79.66±7.36),#20  (57.64±1.95)
Age · SMOTE,#1  (38.74±1.49),#1  (72.71±6.82),#4  (56.63±1.35)
Age · Undersampling,#10  (39.49±1.44),#20  (78.96±7.05),#18  (57.46±1.91)
Age · Tomek Links,#9  (39.49±1.26),#6  (73.88±7.36),#13  (57.08±1.78)
Age · Undersampling + Oversampling,#12  (39.57±1.67),#8  (74.11±6.32),#10  (57.01±1.81)
Age · Undersampling + SMOTE,#2  (38.78±1.45),#7  (73.88±7.09),#7  (56.88±1.26)
Age · balanced_age_smote_tomek,#3  (39.05±1.08),#4  (73.35±7.28),#12  (57.08±1.39)
Age · Oversampling + Tomek Links,#7  (39.42±2.49),#3  (73.29±8.13),#8  (56.90±1.11)
Sex · Jittering,#19  (39.81±0.77),#16  (75.15±7.34),#2  (56.46±1.80)
Sex · Oversampling,#15  (39.66±0.72),#12  (74.38±6.62),#9  (56.96±1.40)
Sex · PAUndersampling,#5  (39.35±1.52),#19  (76.12±6.01),#1  (56.11±0.76)
Sex · SMOTE,#13  (39.60±1.33),#11  (74.32±6.60),#19  (57.47±1.51)
Sex · Undersampling,#16  (39.72±1.31),#14  (74.82±7.74),#15  (57.18±1.57)
Sex · Tomek Links,#21  (39.99±1.70),#9  (74.15±6.25),#17  (57.35±1.31)
Sex · Undersampling + Oversampling,#17  (39.79±1.31),#10  (74.17±7.56),#5  (56.78±1.53)
Sex · Undersampling + SMOTE,#4  (39.34±0.90),#15  (74.93±7.43),#3  (56.51±0.90)
Sex · balanced_sex_smote_tomek,#14  (39.63±0.94),#13  (74.59±6.65),#14  (57.13±1.07)
Sex · Oversampling + Tomek Links,#11  (39.56±1.54),#18  (75.45±5.41),#6  (56.78±0.68)
