Condition,T1DiabetesGranada,DiaTrend,ReplaceBG
Age · Jittering,#8  (39.81±1.30),#3  (73.55±7.47),#10  (57.84±0.50)
Age · PAUndersampling,#9  (39.83±1.55),#10  (79.66±7.36),#9  (57.64±1.95)
Age · SMOTE,#1  (38.74±1.49),#1  (72.71±6.82),#3  (56.63±1.35)
Age · Tomek Links,#4  (39.49±1.26),#4  (73.88±7.36),#5  (57.08±1.78)
Age · balanced_age_smote_tomek,#2  (39.05±1.08),#2  (73.35±7.28),#4  (57.08±1.39)
Sex · Jittering,#7  (39.81±0.77),#8  (75.15±7.34),#2  (56.46±1.80)
Sex · PAUndersampling,#3  (39.35±1.52),#9  (76.12±6.01),#1  (56.11±0.76)
Sex · SMOTE,#5  (39.60±1.33),#6  (74.32±6.60),#8  (57.47±1.51)
Sex · Tomek Links,#10  (39.99±1.70),#5  (74.15±6.25),#7  (57.35±1.31)
Sex · balanced_sex_smote_tomek,#6  (39.63±0.94),#7  (74.59±6.65),#6  (57.13±1.07)
