metric,value,dataset
n_rows,2385082.0,expG_fragmentacion_t1dgranada_original
n_patients,80.0,expG_fragmentacion_t1dgranada_original
pct_hypo,4.29838470962424,expG_fragmentacion_t1dgranada_original
pct_normo,60.792459127191435,expG_fragmentacion_t1dgranada_original
pct_hyper,34.90915616318432,expG_fragmentacion_t1dgranada_original
autocorr_lag1,0.9649624169563747,expG_fragmentacion_t1dgranada_original
roc_violations,21435.0,expG_fragmentacion_t1dgranada_original
roc_pct,0.9090238267294989,expG_fragmentacion_t1dgranada_original
n_rows,2000035.0,expG_fragmentacion_t1dgranada_rus_solo
n_patients,80.0,expG_fragmentacion_t1dgranada_rus_solo
pct_hypo,5.12591029656981,expG_fragmentacion_t1dgranada_rus_solo
pct_normo,53.24421822618104,expG_fragmentacion_t1dgranada_rus_solo
pct_hyper,41.62987147724915,expG_fragmentacion_t1dgranada_rus_solo
autocorr_lag1,0.9588069328926773,expG_fragmentacion_t1dgranada_rus_solo
roc_violations,21242.0,expG_fragmentacion_t1dgranada_rus_solo
roc_pct,1.1041837554723164,expG_fragmentacion_t1dgranada_rus_solo
n_rows,4974862.0,expG_fragmentacion_t1dgranada_smote_solo
n_patients,80.0,expG_fragmentacion_t1dgranada_smote_solo
pct_hypo,18.611330324338645,expG_fragmentacion_t1dgranada_smote_solo
pct_normo,61.44184502002267,expG_fragmentacion_t1dgranada_smote_solo
pct_hyper,19.94682465563869,expG_fragmentacion_t1dgranada_smote_solo
autocorr_lag1,0.929208680755575,expG_fragmentacion_t1dgranada_smote_solo
roc_violations,178453.0,expG_fragmentacion_t1dgranada_smote_solo
roc_pct,3.6067111793434017,expG_fragmentacion_t1dgranada_smote_solo
n_rows,3992203.0,expG_fragmentacion_t1dgranada_H1_rus_smote
n_patients,80.0,expG_fragmentacion_t1dgranada_H1_rus_smote
pct_hypo,18.27953137653571,expG_fragmentacion_t1dgranada_H1_rus_smote
pct_normo,57.48720693812414,expG_fragmentacion_t1dgranada_H1_rus_smote
pct_hyper,24.23326168534015,expG_fragmentacion_t1dgranada_H1_rus_smote
autocorr_lag1,0.9328735582729092,expG_fragmentacion_t1dgranada_H1_rus_smote
roc_violations,146961.0,expG_fragmentacion_t1dgranada_H1_rus_smote
roc_pct,3.752890109199779,expG_fragmentacion_t1dgranada_H1_rus_smote
n_rows,2698262.0,expJ_episodios_cortos_replacebg_original
n_patients,60.0,expJ_episodios_cortos_replacebg_original
pct_hypo,1.752313155653528,expJ_episodios_cortos_replacebg_original
pct_normo,64.48669550992454,expJ_episodios_cortos_replacebg_original
pct_hyper,33.76099133442194,expJ_episodios_cortos_replacebg_original
autocorr_lag1,0.9933482647292233,expJ_episodios_cortos_replacebg_original
roc_violations,59370.0,expJ_episodios_cortos_replacebg_original
roc_pct,2.2255735153377887,expJ_episodios_cortos_replacebg_original
n_rows,1779896.0,expJ_episodios_cortos_replacebg_rus_solo
n_patients,60.0,expJ_episodios_cortos_replacebg_rus_solo
pct_hypo,2.6564473429908264,expJ_episodios_cortos_replacebg_rus_solo
pct_normo,46.16303424469744,expJ_episodios_cortos_replacebg_rus_solo
pct_hyper,51.18051841231173,expJ_episodios_cortos_replacebg_rus_solo
autocorr_lag1,0.988834215894841,expJ_episodios_cortos_replacebg_rus_solo
roc_violations,53333.0,expJ_episodios_cortos_replacebg_rus_solo
roc_pct,3.238371542308374,expJ_episodios_cortos_replacebg_rus_solo
n_rows,6467738.0,expJ_episodios_cortos_replacebg_smote_solo
n_patients,60.0,expJ_episodios_cortos_replacebg_smote_solo
pct_hypo,13.595170367136083,expJ_episodios_cortos_replacebg_smote_solo
pct_normo,71.62915380926067,expJ_episodios_cortos_replacebg_smote_solo
pct_hyper,14.775675823603244,expJ_episodios_cortos_replacebg_smote_solo
autocorr_lag1,0.9665286741317847,expJ_episodios_cortos_replacebg_smote_solo
roc_violations,434438.0,expJ_episodios_cortos_replacebg_smote_solo
roc_pct,6.7489676644913095,expJ_episodios_cortos_replacebg_smote_solo
n_rows,4046624.0,expJ_episodios_cortos_replacebg_H1_rus_smote
n_patients,60.0,expJ_episodios_cortos_replacebg_H1_rus_smote
pct_hypo,13.498338367982793,expJ_episodios_cortos_replacebg_H1_rus_smote
pct_normo,63.28455522430549,expJ_episodios_cortos_replacebg_H1_rus_smote
pct_hyper,23.217106407711714,expJ_episodios_cortos_replacebg_H1_rus_smote
autocorr_lag1,0.974009804416306,expJ_episodios_cortos_replacebg_H1_rus_smote
roc_violations,280621.0,expJ_episodios_cortos_replacebg_H1_rus_smote
roc_pct,7.1703398067679265,expJ_episodios_cortos_replacebg_H1_rus_smote
n_rows,2763562.0,expB_imbalance_moderado_replacebg_original
n_patients,60.0,expB_imbalance_moderado_replacebg_original
pct_hypo,4.073800406866211,expB_imbalance_moderado_replacebg_original
pct_normo,62.96294420027486,expB_imbalance_moderado_replacebg_original
pct_hyper,32.963255392858926,expB_imbalance_moderado_replacebg_original
autocorr_lag1,0.9938194047236724,expB_imbalance_moderado_replacebg_original
roc_violations,61000.0,expB_imbalance_moderado_replacebg_original
roc_pct,2.225629178071496,expB_imbalance_moderado_replacebg_original
n_rows,1845196.0,expB_imbalance_moderado_replacebg_rus_solo
