metric,value,dataset
n_rows,5842135.0,expC_imbalance_severo_diatrend_original
n_patients,40.0,expC_imbalance_severo_diatrend_original
pct_hypo,1.499879752864321,expC_imbalance_severo_diatrend_original
pct_normo,51.954533744940846,expC_imbalance_severo_diatrend_original
pct_hyper,46.54558650219483,expC_imbalance_severo_diatrend_original
autocorr_lag1,0.9931708894730065,expC_imbalance_severo_diatrend_original
roc_violations,247201.0,expC_imbalance_severo_diatrend_original
roc_pct,4.247604803897883,expC_imbalance_severo_diatrend_original
n_rows,14206327.0,expC_imbalance_severo_diatrend_smote_0.12_solo
n_patients,40.0,expC_imbalance_severo_diatrend_smote_0.12_solo
pct_hypo,25.109572657309663,expC_imbalance_severo_diatrend_smote_0.12_solo
pct_normo,54.949044886831054,expC_imbalance_severo_diatrend_smote_0.12_solo
pct_hyper,19.94138245585928,expC_imbalance_severo_diatrend_smote_0.12_solo
autocorr_lag1,0.9725846750713825,expC_imbalance_severo_diatrend_smote_0.12_solo
roc_violations,1096645.0,expC_imbalance_severo_diatrend_smote_0.12_solo
roc_pct,7.731582266906168,expC_imbalance_severo_diatrend_smote_0.12_solo
n_rows,10794835.0,expC_imbalance_severo_diatrend_H3_smote_csl
n_patients,40.0,expC_imbalance_severo_diatrend_H3_smote_csl
pct_hypo,19.60372715284671,expC_imbalance_severo_diatrend_H3_smote_csl
pct_normo,54.57044040043224,expC_imbalance_severo_diatrend_H3_smote_csl
pct_hyper,25.825832446721048,expC_imbalance_severo_diatrend_H3_smote_csl
autocorr_lag1,0.9791183436377457,expC_imbalance_severo_diatrend_H3_smote_csl
roc_violations,754798.0,expC_imbalance_severo_diatrend_H3_smote_csl
roc_pct,7.0067284451092675,expC_imbalance_severo_diatrend_H3_smote_csl
n_rows,2385082.0,expG_fragmentacion_t1dgranada_original
n_patients,80.0,expG_fragmentacion_t1dgranada_original
pct_hypo,4.29838470962424,expG_fragmentacion_t1dgranada_original
pct_normo,60.792459127191435,expG_fragmentacion_t1dgranada_original
pct_hyper,34.90915616318432,expG_fragmentacion_t1dgranada_original
autocorr_lag1,0.9649624169563747,expG_fragmentacion_t1dgranada_original
roc_violations,21435.0,expG_fragmentacion_t1dgranada_original
roc_pct,0.9090238267294989,expG_fragmentacion_t1dgranada_original
n_rows,4974862.0,expG_fragmentacion_t1dgranada_smote_0.12_solo
n_patients,80.0,expG_fragmentacion_t1dgranada_smote_0.12_solo
pct_hypo,18.611330324338645,expG_fragmentacion_t1dgranada_smote_0.12_solo
pct_normo,61.44184502002267,expG_fragmentacion_t1dgranada_smote_0.12_solo
pct_hyper,19.94682465563869,expG_fragmentacion_t1dgranada_smote_0.12_solo
autocorr_lag1,0.929208680755575,expG_fragmentacion_t1dgranada_smote_0.12_solo
roc_violations,178453.0,expG_fragmentacion_t1dgranada_smote_0.12_solo
roc_pct,3.6067111793434017,expG_fragmentacion_t1dgranada_smote_0.12_solo
n_rows,3685066.0,expG_fragmentacion_t1dgranada_H3_smote_csl
n_patients,80.0,expG_fragmentacion_t1dgranada_H3_smote_csl
pct_hypo,13.573895284372112,expG_fragmentacion_t1dgranada_H3_smote_csl
pct_normo,61.54882979029412,expG_fragmentacion_t1dgranada_H3_smote_csl
pct_hyper,24.87727492533377,expG_fragmentacion_t1dgranada_H3_smote_csl
autocorr_lag1,0.9428330944699501,expG_fragmentacion_t1dgranada_H3_smote_csl
roc_violations,102442.0,expG_fragmentacion_t1dgranada_H3_smote_csl
roc_pct,2.8004859475430344,expG_fragmentacion_t1dgranada_H3_smote_csl
n_rows,2763562.0,expB_imbalance_moderado_replacebg_original
n_patients,60.0,expB_imbalance_moderado_replacebg_original
pct_hypo,4.073800406866211,expB_imbalance_moderado_replacebg_original
pct_normo,62.96294420027486,expB_imbalance_moderado_replacebg_original
pct_hyper,32.963255392858926,expB_imbalance_moderado_replacebg_original
autocorr_lag1,0.9938194047236724,expB_imbalance_moderado_replacebg_original
roc_violations,61000.0,expB_imbalance_moderado_replacebg_original
roc_pct,2.225629178071496,expB_imbalance_moderado_replacebg_original
n_rows,5763226.0,expB_imbalance_moderado_replacebg_smote_0.12_solo
n_patients,60.0,expB_imbalance_moderado_replacebg_smote_0.12_solo
pct_hypo,26.740145189517122,expB_imbalance_moderado_replacebg_smote_0.12_solo
pct_normo,57.14827077751246,expB_imbalance_moderado_replacebg_smote_0.12_solo
pct_hyper,16.111584032970423,expB_imbalance_moderado_replacebg_smote_0.12_solo
autocorr_lag1,0.9816541248874511,expB_imbalance_moderado_replacebg_smote_0.12_solo
roc_violations,293987.0,expB_imbalance_moderado_replacebg_smote_0.12_solo
roc_pct,5.121312535471883,expB_imbalance_moderado_replacebg_smote_0.12_solo
n_rows,4252114.0,expB_imbalance_moderado_replacebg_H3_smote_csl
n_patients,60.0,expB_imbalance_moderado_replacebg_H3_smote_csl
pct_hypo,18.665092234121662,expB_imbalance_moderado_replacebg_H3_smote_csl
pct_normo,59.688451438508,expB_imbalance_moderado_replacebg_H3_smote_csl
pct_hyper,21.646456327370338,expB_imbalance_moderado_replacebg_H3_smote_csl
autocorr_lag1,0.9869041075225743,expB_imbalance_moderado_replacebg_H3_smote_csl
roc_violations,178846.0,expB_imbalance_moderado_replacebg_H3_smote_csl
roc_pct,4.228687623393665,expB_imbalance_moderado_replacebg_H3_smote_csl
