metric,value,dataset
n_rows,2385082.0,expG_fragmentacion_t1dgranada_original
n_patients,80.0,expG_fragmentacion_t1dgranada_original
pct_hypo,4.29838470962424,expG_fragmentacion_t1dgranada_original
pct_normo,60.792459127191435,expG_fragmentacion_t1dgranada_original
pct_hyper,34.90915616318432,expG_fragmentacion_t1dgranada_original
autocorr_lag1,0.9649624169563747,expG_fragmentacion_t1dgranada_original
roc_violations,21435.0,expG_fragmentacion_t1dgranada_original
roc_pct,0.9090238267294989,expG_fragmentacion_t1dgranada_original
n_rows,2601248.0,expG_fragmentacion_t1dgranada_ros_global
n_patients,80.0,expG_fragmentacion_t1dgranada_ros_global
pct_hypo,12.251273235001046,expG_fragmentacion_t1dgranada_ros_global
pct_normo,55.74055222723862,expG_fragmentacion_t1dgranada_ros_global
pct_hyper,32.00817453776034,expG_fragmentacion_t1dgranada_ros_global
autocorr_lag1,0.9723628183396805,expG_fragmentacion_t1dgranada_ros_global
roc_violations,21486.0,expG_fragmentacion_t1dgranada_ros_global
roc_pct,0.8346703234803958,expG_fragmentacion_t1dgranada_ros_global
n_rows,2017210.0,expG_fragmentacion_t1dgranada_H4_seg1d
n_patients,80.0,expG_fragmentacion_t1dgranada_H4_seg1d
pct_hypo,12.408028911218961,expG_fragmentacion_t1dgranada_H4_seg1d
pct_normo,56.65483514358941,expG_fragmentacion_t1dgranada_H4_seg1d
pct_hyper,30.937135945191624,expG_fragmentacion_t1dgranada_H4_seg1d
autocorr_lag1,0.8858628486036986,expG_fragmentacion_t1dgranada_H4_seg1d
roc_violations,65798.0,expG_fragmentacion_t1dgranada_H4_seg1d
roc_pct,3.4604354496099528,expG_fragmentacion_t1dgranada_H4_seg1d
n_rows,529977.0,expG_fragmentacion_t1dgranada_H4_seg7d
n_patients,46.0,expG_fragmentacion_t1dgranada_H4_seg7d
pct_hypo,14.713280010264596,expG_fragmentacion_t1dgranada_H4_seg7d
pct_normo,56.552642850538795,expG_fragmentacion_t1dgranada_H4_seg7d
pct_hyper,28.734077139196607,expG_fragmentacion_t1dgranada_H4_seg7d
autocorr_lag1,0.9566513762475227,expG_fragmentacion_t1dgranada_H4_seg7d
roc_violations,9171.0,expG_fragmentacion_t1dgranada_H4_seg7d
roc_pct,1.7763341390851617,expG_fragmentacion_t1dgranada_H4_seg7d
